Densities in kg/m3 for which the hugoniot equation equals 0, corresponding pressures in GPa from BM3 fit and Energies from Hugoniot equation
T(K)	rho(kg/m3)	P(GPa)	rho0(kg/m3)	K0(GPa)	K'0	Chi2red	E(J/kg)	Up_crust(km/s)	Up_Eimp1(km/s)	Up_Eimp2(km/s)	Up_Eimp3(km/s)	Up_Mimp1(km/s)	Up_Mimp2(km/s)	Up_Mimp3(km/s)
0	2500	0.0	-	-	-	-	-35858899.35	0	12.9	15.2	18.1	8.3	11.5	15.2
3000	4611	79.73	1532.0	0.03	302.64	237.51	-28558925.21	3.82	9.85	12.15	15.05	5.25	8.45	12.15
4000	4731	96.63	1251.0	0.02	187.1	47.74	-26745410.3	4.27	9.47	11.77	14.67	4.87	8.07	11.77
5000	4859	116.28	1709.0	6.43	5.45	21.03	-24568705.19	4.75	9.05	11.35	14.25	4.45	7.65	11.35
6000	4971	135.96	1877.0	13.49	4.65	8.19	-22343340.61	5.2	8.66	10.96	13.86	4.06	7.26	10.96
10000	5323	213.21	910.0	2.0	4.4	4.61	-13242742.21	6.73	7.33	9.63	12.53	2.73	5.93	9.63
15000	5604	297.2	73.0	0.0	4.08	2.24	-2937785.24	8.11	6.12	8.42	11.32	1.52	4.72	8.42
20000	5806	372.83	0.0	0.0	4.0	16.8	6602616.55	9.22	5.15	7.45	10.35	0.55	3.75	7.45
