0.01	0.57					5500	5500		
0.12	0.57				6000		6000		
0.21	0.57					6500	6500		
-0.05	0.47					4500	4500		
0.00	0.47					5000	5000		
0.03	0.47					5500	5500		
0.13	0.47					6000	6000		
0.17	0.47					6500	6500		
-0.02	0.37					4500	4500		
0.00	0.37					5000	5000		
0.04	0.37					5500	5500		
0.13	0.37					6000	6000		
0.17	0.37					6500	6500		
