elements	Na	Al	Si	O
number	16	16	48	128
Location of ballistic to diffusif regime using linear regression curves (before 60 fs and after 500 fs).
Calculation of atomic self diffusivities using linear regression after 500 fs.
atom	Na	Na	Na	Na	Na	Na	Al	Al	Al	Al	Al	Al	Si	Si	Si	Si	Si	Si	O	O	O	O	O	O
file	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change
NaAlSi3O8_T4.5_nvt_a18.0.outcar.msd.dat	9.139353136270154e-08	1.620900812288948e-10	0.9981726967191448	0.054836118817620925	13.967859926925001	259.3355861617551	1.9860153199563156e-08	1.2869302491660335e-10	0.9761448537641668	0.011916091919737894	6.760737635753031	214.77816356028524	2.6978687545708304e-08	4.50325460534914e-11	0.9983810602546667	0.01618721252742498	4.104134544070263	214.01020246041398	2.7325313074588132e-08	8.703166503215853e-11	0.9941306401680973	0.016395187844752877	9.670394457479844	208.34435367184875
NaAlSi3O8_T4.5_nvt_a18.5.outcar.msd.dat	1.3017420046058425e-07	3.854519931487193e-10	0.9949664428899239	0.07810452027635054	-27.232057168937843	nan	2.421665070515772e-08	4.922096686878164e-11	0.9976219884940214	0.01452999042309463	3.4893361879791556	177.56517359814916	3.19485997581972e-08	2.075683888171578e-11	0.9997565056865259	0.01916915985491832	-0.2036107869973165	106.43912508015298	3.7704851135951e-08	2.4269115029655718e-11	0.9997610068647265	0.022622910681570598	-0.16407176676153767	67.98421500991954
NaAlSi3O8_T4.5_nvt_a19.0.outcar.msd.dat	1.2555484661383844e-07	3.4699873904006467e-10	0.9957408476032209	0.07533290796830305	2.7424944714554726	205.23133587807874	2.34251205625094e-08	4.4030652437708505e-11	0.9980254133374329	0.014055072337505638	2.409973161308102	152.8787559402018	3.722460864240905e-08	7.977580390095678e-11	0.9974346031611854	0.02233476518544543	-0.3119702110268321	120.4393974892208	4.091506533708117e-08	3.4817174516236835e-11	0.9995946478324095	0.024549039202248702	-2.329139622592521	nan
NaAlSi3O8_T4_nvt_a12.0.outcar.msd.dat	4.37065983758823e-09	1.4963285150976513e-11	0.9926353293764407	0.002622395902552938	0.3621181724466016	52.338037988077296	2.822027327727548e-09	7.503501303393256e-12	0.9955447713226654	0.0016932163966365285	0.8326005107496464	90.99523623432239	2.4245511757636062e-09	3.727767463798615e-12	0.9985058670362525	0.0014547307054581637	0.21064390206229788	57.362665754329136	2.842102901922175e-09	1.7201782295634749e-12	0.9997681696379123	0.0017052617411533048	0.6096772003850672	79.21124173444535
NaAlSi3O8_T4_nvt_a12.25.outcar.msd.dat	5.7784653379729295e-09	2.322271011981067e-11	0.994618515129167	0.0034670792027837573	0.002988512072324312	22.939144712960342	4.108516271341934e-09	1.1857696071955952e-11	0.9972173074768053	0.0024651097628051602	0.8963448570597219	110.6530207562041	3.1970391177862196e-09	6.127544451005373e-12	0.998770898560581	0.0019182234706717316	0.3053344472900186	80.63013571543631	4.306175478274578e-09	2.4846626104825605e-12	0.9998884812803116	0.0025837052869647466	0.6196830531225412	93.52398004520461
NaAlSi3O8_T4_nvt_a12.5.outcar.msd.dat	9.720198570038017e-09	1.3034514350866382e-11	0.9988630297940867	0.0058321191420228095	-0.34567420117298653	nan	5.917202200326721e-09	1.7407458746443986e-11	0.994551600308608	0.003550321320196032	1.332465637513586	113.55005535086859	4.124743178762117e-09	1.215364394735558e-11	0.994534339081416	0.00247484590725727	0.9091049941668512	108.5967168584391	5.653611687426261e-09	1.218477343612767e-11	0.9970683534662225	0.0033921670124557562	1.15993990648556	101.49448233719185
NaAlSi3O8_T4_nvt_a13.0.outcar.msd.dat	1.6497812569381555e-08	5.0567817475744405e-11	0.9940881379639167	0.009898687541628932	-3.396813104886512	nan	8.374372907161292e-09	6.3732881240860554e-12	0.9996335058661285	0.005024623744296775	-0.7022033918702135	nan	5.4025681363178025e-09	1.680638097885317e-12	0.9999387473319847	0.003241540881790681	0.32156399148212955	72.60274746547528	7.820930366062868e-09	6.7606528682918786e-12	0.9995272203529181	0.004692558219637721	-0.20272093680618397	nan
NaAlSi3O8_T4_nvt_a13.5.outcar.msd.dat	1.601810699754798e-08	6.37904031477857e-11	0.9894703576199371	0.009610864198528787	-2.584036386914555	nan	5.1823208750316e-09	3.7588804067781936e-11	0.9659023718888471	0.0031093925250189596	4.5010161250090714	185.07526392453772	5.021718220873007e-09	2.4411739342343265e-12	0.9998414572346925	0.0030130309325238037	0.477474381649051	83.29066507324656	7.492539324200678e-09	5.337400779974162e-12	0.9996596104386399	0.004495523594520406	0.18709167717324604	45.65658954783948
NaAlSi3O8_T4_nvt_a14.0.outcar.msd.dat	2.7097558785547934e-08	9.060101562594172e-11	0.9922904432220073	0.01625853527132876	-7.0629996937165345	nan	8.478100460832932e-09	1.1327074367354495e-11	0.9987609616451475	0.005086860276499758	0.7716578241245529	90.3262166384079	4.946397971552576e-09	6.595310358738543e-12	0.9987659268992787	0.002967838782931545	0.8814162739235041	104.7077563195379	6.993911921674914e-09	8.373551922822006e-12	0.9990047516267639	0.0041963471530049486	1.3629642149417514	93.40780512723737
NaAlSi3O8_T4_nvt_a14.5.outcar.msd.dat	2.67285323945294e-08	2.6491399220557074e-11	0.9993785684333399	0.016037119436717637	3.2843285398570146	125.10580638442079	6.7224030122188796e-09	3.2525432886252593e-12	0.999851838133724	0.004033441807331327	1.0926862028419144	101.60661647237056	4.913132722240821e-09	7.601352418674454e-12	0.9984870976030604	0.0029478796333444928	0.792929973083524	98.97007810553794	6.247529702801694e-09	8.281395666382141e-12	0.9988890069197844	0.003748517821681016	2.243539430524784	112.2680587571414
NaAlSi3O8_T4_nvt_a15.0.outcar.msd.dat	3.8890392230727016e-08	1.1241206272994833e-10	0.9952520038674526	0.023334235338436208	-3.139920850155221	nan	7.33973316526349e-09	1.6000938734621207e-11	0.9972936153058349	0.004403839899158094	0.6107200104895938	79.08297926457513	6.0913722345036705e-09	8.575593694426349e-12	0.9988695717413196	0.0036548233407022023	1.5005045996383615	131.20952224595462	7.921824598658336e-09	6.938993567095803e-12	0.9995620864247837	0.004753094759195001	2.1703916653472533	110.02194784450089
NaAlSi3O8_T4_nvt_a15.5.outcar.msd.dat	5.867299488721415e-08	1.241737009183839e-10	0.997618369501148	0.03520379693232849	0.4380492661412916	109.95903967660972	1.0679718252350575e-08	4.4867632418840246e-11	0.990680182672226	0.006407830951410345	-1.9826084594682136	nan	7.911428881681663e-09	1.16285072273335e-11	0.9988498208714763	0.004746857329008997	1.2852188141777496	126.9790230666698	9.213071253644316e-09	9.694554471227564e-12	0.9994101822620436	0.00552784275218659	2.390084249917603	115.92562192471497
NaAlSi3O8_T4_nvt_a16.0.outcar.msd.dat	6.644607606445922e-08	1.3583340635218517e-10	0.9974448061509658	0.03986764563867552	-9.099219818939275	nan	1.1148491082675904e-08	1.0501890306557907e-11	0.9994563403818388	0.006689094649605542	-0.19322187795096468	nan	1.090084050758322e-08	1.8480150684921137e-11	0.9982413190394221	0.006540504304549931	-1.4128735336461098	nan	1.2291540329285837e-08	7.32700802579431e-12	0.9997822257134209	0.007374924197571501	0.4873844182399907	64.95506632544185
NaAlSi3O8_T4_nvt_a16.5.outcar.msd.dat	5.352621924977265e-08	1.8620187948778812e-10	0.9927915101977708	0.03211573154986359	0.31917295253305156	106.63029885847656	7.491329668434103e-09	1.5157618676858812e-11	0.9975496399548299	0.004494797801060462	4.051110672284466	195.22894136518963	9.803693447514614e-09	6.8456605684005205e-12	0.9997075339276565	0.005882216068508767	2.1697423909224796	178.32176636647574	1.1090655806176357e-08	8.276139373995827e-12	0.9996659993528009	0.006654393483705814	4.062464671486886	164.13308918677916
NaAlSi3O8_T4_nvt_a17.0.outcar.msd.dat	6.036491283022804e-08	9.893417406198331e-11	0.9984471583956307	0.036218947698136814	12.002693959396822	251.63314616554442	1.1035082241377438e-08	8.434651203999132e-12	0.9996618457983041	0.006621049344826462	0.4078066770779074	88.44065667652791	1.179733417433317e-08	1.9259065845984722e-11	0.9984593229506336	0.007078400504599901	2.9818034469493924	205.64894970728216	1.4273559017813878e-08	2.430360518112487e-11	0.9983241813977186	0.008564135410688326	3.7239466002298514	161.0213656232753
NaAlSi3O8_T4_nvt_a17.5.outcar.msd.dat	5.922233945242328e-08	3.5943601098795083e-10	0.9787643532766884	0.03553340367145396	63.71972181987172	482.7800364077011	1.2222163818422007e-08	4.936046606723434e-12	0.9999039414829718	0.0073332982910532035	1.560938725890999	138.73019377998725	1.782803326484458e-08	5.471103783778735e-12	0.9999445330558364	0.010696819958906747	-0.9404809759090682	nan	1.920820357868231e-08	5.259065787968403e-12	0.999955849072931	0.011524922147209385	1.5170732785505265	118.9632909675201
NaAlSi3O8_T4_nvt_a18.0.outcar.msd.dat	9.005821261630494e-08	1.0761532534215704e-10	0.9991468368261468	0.05403492756978296	-12.39845498639096	nan	1.1039960259125443e-08	1.1836746883752437e-11	0.9993130384349446	0.006623976155475266	3.678929158461095	194.00478930004508	1.3299289677465463e-08	1.9167293545091355e-11	0.9987594143115076	0.007979573806479278	5.519298319783857	265.8787854882299	1.4409791587631465e-08	1.562408553120915e-11	0.9992974620569647	0.008645874952578878	7.318350648998177	211.7090583435188
NaAlSi3O8_T4_nvt_a18.5.outcar.msd.dat	8.421494980317377e-08	9.933158471598448e-11	0.9992201332984101	0.05052896988190425	-12.107243175320548	nan	9.904717004246592e-09	3.614609020071832e-11	0.9925840182458331	0.0059428302025479555	6.525646823026193	249.94384712664547	1.6979066587492514e-08	3.851799434730758e-11	0.997121206448584	0.010187439952495507	-1.3888855591623468	nan	1.8248387440194668e-08	3.703188795355154e-11	0.9976950399860559	0.0109490324641168	0.9047853626437217	98.4894492541772
NaAlSi3O8_T4_nvt_a19.0.outcar.msd.dat	8.515467095941612e-08	8.678339297910941e-11	0.9993595824182233	0.051092802575649666	-7.791010924884915	nan	1.1308385150952823e-08	2.4471260020795897e-11	0.997118997502565	0.006785031090571694	2.526252720108161	166.60101805998116	1.7925747498330076e-08	2.5130420773128426e-11	0.998788833601614	0.010755448498998045	-1.0476783587629939	nan	1.7309208097863583e-08	1.84561063546735e-11	0.9992990187606391	0.010385524858718149	3.908216087650544	167.71416898404254
NaAlSi3O8_T5_nvt_a12.0.outcar.msd.dat	9.099691742398747e-09	2.163149208770543e-11	0.9964357136465953	0.005459815045439248	2.4369043515045234	116.03451328935728	5.468192938462002e-09	6.498614679974424e-12	0.9991067572059816	0.0032809157630772005	1.2934643209174297	104.3545676956611	6.171193055339066e-09	1.3820690362970047e-11	0.9968351853685049	0.0037027158332034395	-0.29604486275884057	nan	7.890458980971472e-09	2.6660763352632832e-12	0.9999277375049306	0.0047342753885828825	0.4059192284748683	66.28409727982614
