elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T4_nvt_a16.0.outcar.umd.dat	5999	1.70	1.6e-13	3.7e-16	-6.94e-02	1.0e+00	1.9e-02	4000	233	>8.1e+00	3.45e-01	2.0e-02	>7.0e-04	-6.02e+00	6.0e-02	>1.1e-02	-1.253e+03	1.2e+01	>2.2e+00	-2.878e+04	2.9e+02	>5.1e+01	6.26	1.2e-01	5.20e+01	9.6e-01	2.58e+00	4.7e-02	1.80e-20	3.3e-22
NaAlSi3O8_T4_nvt_a17.0.outcar.umd.dat	5999	1.42	1.6e-13	3.9e-16	-3.35e-01	8.8e-01	1.6e-02	4000	228	>8.4e+00	3.45e-01	2.0e-02	>7.2e-04	-5.94e+00	5.9e-02	>1.8e-02	-1.236e+03	1.2e+01	>3.7e+00	-2.839e+04	2.8e+02	>8.5e+01	6.07	1.1e-01	5.04e+01	9.0e-01	2.50e+00	4.5e-02	1.74e-20	3.1e-22
NaAlSi3O8_T4_nvt_a18.0.outcar.umd.dat	7098	1.19	1.2e-13	9.9e-16	-3.78e-01	7.5e-01	1.3e-02	4000	216	>7.4e+00	3.45e-01	1.9e-02	>6.4e-04	-5.90e+00	5.5e-02	>7.7e-03	-1.228e+03	1.1e+01	>1.6e+00	-2.819e+04	2.6e+02	>3.7e+01	5.33	9.1e-02	4.43e+01	7.5e-01	2.20e+00	3.7e-02	1.53e-20	2.6e-22
NaAlSi3O8_T4_nvt_a19.0.outcar.umd.dat	6669	1.02	1.2e-13	8.5e-16	-3.50e-01	5.8e-01	1.0e-02	4000	225	>8.3e+00	3.45e-01	1.9e-02	>7.2e-04	-5.87e+00	5.6e-02	>1.8e-02	-1.221e+03	1.2e+01	>3.8e+00	-2.803e+04	2.7e+02	>8.7e+01	5.43	9.1e-02	4.52e+01	7.6e-01	2.24e+00	3.8e-02	1.56e-20	2.6e-22
NaAlSi3O8_T4_nvt_a20.0.outcar.umd.dat	7296	0.87	7.7e-14	9.9e-16	-1.89e-01	5.2e-01	8.5e-03	4000	231	>8.0e+00	3.45e-01	2.0e-02	>6.9e-04	-5.86e+00	5.5e-02	>8.2e-03	-1.218e+03	1.1e+01	>1.7e+00	-2.798e+04	2.6e+02	>3.9e+01	5.27	8.8e-02	4.38e+01	7.3e-01	2.17e+00	3.6e-02	1.51e-20	2.5e-22
NaAlSi3O8_T4_nvt_a21.0.outcar.umd.dat	5213	0.75	4.0e-14	6.5e-16	-1.49e-01	4.4e-01	8.6e-03	4000	238	>1.2e+01	3.45e-01	2.0e-02	>1.0e-03	-5.79e+00	5.8e-02	>2.6e-02	-1.205e+03	1.2e+01	>5.5e+00	-2.768e+04	2.8e+02	>1.3e+02	5.79	1.0e-01	4.81e+01	8.7e-01	2.39e+00	4.3e-02	1.66e-20	3.0e-22
NaAlSi3O8_T4_nvt_a22.0.outcar.umd.dat	4870	0.65	3.4e-15	6.8e-17	-1.54e-01	4.0e-01	8.0e-03	4000	237	>1.3e+01	3.45e-01	2.0e-02	>1.1e-03	-5.81e+00	5.9e-02	>1.5e-02	-1.208e+03	1.2e+01	>3.2e+00	-2.774e+04	2.8e+02	>7.3e+01	5.98	1.3e-01	4.97e+01	1.1e+00	2.46e+00	5.4e-02	1.72e-20	3.8e-22
NaAlSi3O8_T4_nvt_a23.0.outcar.umd.dat	4811	0.57	5.8e-15	2.6e-16	-1.34e-01	3.5e-01	7.2e-03	4001	209	>9.5e+00	3.45e-01	1.8e-02	>8.2e-04	-5.81e+00	4.8e-02	>1.2e-02	-1.209e+03	1.0e+01	>2.5e+00	-2.776e+04	2.3e+02	>5.7e+01	4.09	6.2e-02	3.40e+01	5.2e-01	1.68e+00	2.6e-02	1.17e-20	1.8e-22
NaAlSi3O8_T5.5_nvt_a15.0.outcar.umd.dat	4499	2.06	1.5e-13	3.3e-16	2.75e+00	1.4e+00	2.9e-02	5500	310	>1.8e+01	4.74e-01	2.7e-02	>1.6e-03	-5.45e+00	7.5e-02	>1.4e-02	-1.134e+03	1.6e+01	>3.0e+00	-2.603e+04	3.6e+02	>6.9e+01	5.15	1.1e-01	4.28e+01	9.2e-01	2.12e+00	4.6e-02	1.48e-20	3.2e-22
NaAlSi3O8_T5.5_nvt_a16.0.outcar.umd.dat	4499	1.70	2.1e-14	4.2e-16	1.12e+00	1.1e+00	2.4e-02	5501	293	>1.8e+01	4.74e-01	2.5e-02	>1.6e-03	-5.34e+00	6.1e-02	>1.2e-02	-1.111e+03	1.3e+01	>2.4e+00	-2.552e+04	2.9e+02	>5.5e+01	3.39	5.9e-02	2.82e+01	4.9e-01	1.40e+00	2.4e-02	9.73e-21	1.7e-22
NaAlSi3O8_T5.5_nvt_a17.0.outcar.umd.dat	4499	1.42	9.7e-14	2.2e-16	3.70e-01	8.8e-01	1.9e-02	5501	301	>1.8e+01	4.74e-01	2.6e-02	>1.6e-03	-5.28e+00	6.1e-02	>1.9e-02	-1.099e+03	1.3e+01	>3.9e+00	-2.523e+04	2.9e+02	>9.0e+01	3.47	7.3e-02	2.88e+01	6.1e-01	1.43e+00	3.0e-02	9.96e-21	2.1e-22
NaAlSi3O8_T5.5_nvt_a18.0.outcar.umd.dat	4545	1.19	1.8e-14	5.2e-16	7.71e-02	8.0e-01	1.7e-02	5498	315	>2.1e+01	4.74e-01	2.7e-02	>1.8e-03	-5.22e+00	7.1e-02	>4.2e-02	-1.085e+03	1.5e+01	>8.7e+00	-2.491e+04	3.4e+02	>2.0e+02	4.65	9.4e-02	3.86e+01	7.8e-01	1.92e+00	3.9e-02	1.33e-20	2.7e-22
NaAlSi3O8_T5.5_nvt_a19.0.outcar.umd.dat	5081	1.02	3.6e-14	8.0e-16	1.08e-01	6.4e-01	1.3e-02	5500	329	>1.9e+01	4.74e-01	2.8e-02	>1.6e-03	-5.18e+00	6.6e-02	>9.6e-03	-1.077e+03	1.4e+01	>2.0e+00	-2.474e+04	3.1e+02	>4.6e+01	3.99	7.3e-02	3.32e+01	6.0e-01	1.65e+00	3.0e-02	1.15e-20	2.1e-22
NaAlSi3O8_T5.5_nvt_a20.0.outcar.umd.dat	4999	0.87	6.9e-14	8.8e-16	5.20e-02	5.7e-01	1.1e-02	5500	314	>1.9e+01	4.74e-01	2.7e-02	>1.6e-03	-5.11e+00	8.4e-02	>2.5e-02	-1.063e+03	1.7e+01	>5.2e+00	-2.441e+04	4.0e+02	>1.2e+02	6.52	1.5e-01	5.42e+01	1.2e+00	2.69e+00	6.0e-02	1.87e-20	4.2e-22
NaAlSi3O8_T5.5_nvt_a21.0.outcar.umd.dat	4499	0.75	3.9e-14	6.5e-16	5.83e-02	4.8e-01	1.0e-02	5500	330	>2.2e+01	4.74e-01	2.8e-02	>1.9e-03	-5.02e+00	7.6e-02	>3.0e-02	-1.044e+03	1.6e+01	>6.2e+00	-2.397e+04	3.6e+02	>1.4e+02	5.36	1.0e-01	4.46e+01	8.6e-01	2.21e+00	4.3e-02	1.54e-20	3.0e-22
NaAlSi3O8_T5.5_nvt_a22.0.outcar.umd.dat	4499	0.65	3.4e-15	7.0e-17	4.90e-02	4.2e-01	8.8e-03	5498	319	>2.1e+01	4.74e-01	2.8e-02	>1.8e-03	-5.07e+00	7.0e-02	>1.9e-02	-1.055e+03	1.5e+01	>3.9e+00	-2.423e+04	3.4e+02	>9.0e+01	4.57	1.0e-01	3.80e+01	8.3e-01	1.88e+00	4.1e-02	1.31e-20	2.9e-22
NaAlSi3O8_T5.5_nvt_a23.0.outcar.umd.dat	4426	0.57	5.4e-15	1.2e-16	1.16e-02	3.6e-01	7.6e-03	5502	297	>5.0e+01	4.74e-01	2.6e-02	>4.3e-03	-4.99e+00	7.4e-02	>1.7e-02	-1.038e+03	1.5e+01	>3.6e+00	-2.384e+04	3.5e+02	>8.3e+01	4.99	1.0e-01	4.15e+01	8.6e-01	2.06e+00	4.2e-02	1.43e-20	3.0e-22
NaAlSi3O8_T5.5_nvt_a24.5.outcar.umd.dat	4459	0.47	1.8e-14	3.5e-16	2.93e-02	3.0e-01	6.4e-03	5502	316	>3.5e+01	4.74e-01	2.7e-02	>3.0e-03	-4.95e+00	6.7e-02	>2.5e-02	-1.030e+03	1.4e+01	>5.1e+00	-2.366e+04	3.2e+02	>1.2e+02	4.19	7.7e-02	3.49e+01	6.4e-01	1.73e+00	3.2e-02	1.20e-20	2.2e-22
NaAlSi3O8_T5.5_nvt_a26.5.outcar.umd.dat	4052	0.37	1.9e-14	3.2e-16	4.40e-02	2.3e-01	5.2e-03	5495	304	>2.2e+01	4.74e-01	2.6e-02	>1.9e-03	-4.96e+00	5.6e-02	>1.3e-02	-1.031e+03	1.2e+01	>2.7e+00	-2.367e+04	2.7e+02	>6.2e+01	2.86	6.8e-02	2.38e+01	5.6e-01	1.18e+00	2.8e-02	8.23e-21	1.9e-22
NaAlSi3O8_T5_nvt_a15.0.outcar.umd.dat	4499	2.06	1.5e-13	3.3e-16	2.31e+00	1.3e+00	2.7e-02	5001	280	>2.9e+01	4.31e-01	2.4e-02	>2.5e-03	-5.64e+00	6.6e-02	>3.0e-02	-1.174e+03	1.4e+01	>6.3e+00	-2.696e+04	3.1e+02	>1.4e+02	4.81	8.3e-02	4.00e+01	6.9e-01	1.98e+00	3.4e-02	1.38e-20	2.4e-22
NaAlSi3O8_T5_nvt_a16.0.outcar.umd.dat	4499	1.70	2.1e-14	4.2e-16	5.95e-01	1.2e+00	2.5e-02	5001	285	>2.7e+01	4.31e-01	2.5e-02	>2.3e-03	-5.58e+00	7.0e-02	>3.6e-02	-1.160e+03	1.5e+01	>7.5e+00	-2.663e+04	3.4e+02	>1.7e+02	5.51	1.2e-01	4.58e+01	9.9e-01	2.27e+00	4.9e-02	1.58e-20	3.4e-22
NaAlSi3O8_T5_nvt_a17.0.outcar.umd.dat	4499	1.42	9.7e-14	2.2e-16	1.18e-01	8.6e-01	1.8e-02	5000	289	>1.6e+01	4.31e-01	2.5e-02	>1.4e-03	-5.49e+00	6.0e-02	>2.6e-02	-1.143e+03	1.2e+01	>5.4e+00	-2.624e+04	2.9e+02	>1.2e+02	3.99	8.4e-02	3.32e+01	7.0e-01	1.65e+00	3.5e-02	1.15e-20	2.4e-22
NaAlSi3O8_T5_nvt_a18.0.outcar.umd.dat	4296	1.19	2.0e-15	3.5e-16	3.31e-02	8.0e-01	1.7e-02	5001	287	>7.6e+01	4.31e-01	2.5e-02	>6.5e-03	-5.44e+00	6.3e-02	>2.1e-02	-1.132e+03	1.3e+01	>4.3e+00	-2.600e+04	3.0e+02	>9.9e+01	4.47	1.1e-01	3.72e+01	9.3e-01	1.84e+00	4.6e-02	1.28e-20	3.2e-22
NaAlSi3O8_T5_nvt_a19.0.outcar.umd.dat	4600	1.02	2.2e-16	7.6e-16	-4.54e-02	6.7e-01	1.4e-02	5000	314	>2.0e+01	4.31e-01	2.7e-02	>1.7e-03	-5.38e+00	7.5e-02	>1.9e-02	-1.119e+03	1.6e+01	>3.9e+00	-2.569e+04	3.6e+02	>9.0e+01	6.26	1.3e-01	5.20e+01	1.1e+00	2.58e+00	5.5e-02	1.80e-20	3.8e-22
NaAlSi3O8_T5_nvt_a20.0.outcar.umd.dat	4499	0.87	6.6e-14	8.1e-16	-6.72e-02	5.7e-01	1.2e-02	5000	279	>1.7e+01	4.31e-01	2.4e-02	>1.5e-03	-5.38e+00	5.7e-02	>1.1e-02	-1.119e+03	1.2e+01	>2.3e+00	-2.569e+04	2.7e+02	>5.3e+01	3.69	7.6e-02	3.07e+01	6.3e-01	1.52e+00	3.1e-02	1.06e-20	2.2e-22
