Densities in kg/m3 for which the hugoniot equation equals 0, corresponding pressures in GPa from BM3 fit and Energies from Hugoniot equation
T(K)	rho(kg/m3)	P(GPa)	rho0(kg/m3)	K0(GPa)	K'0	Chi2red	E(J/kg)	Up_crust(km/s)	Up_Eimp1(km/s)	Up_Eimp2(km/s)	Up_Eimp3(km/s)	Up_Mimp1(km/s)	Up_Mimp2(km/s)	Up_Mimp3(km/s)
0	3000	0.0	-	-	-	-	-35503034.74	0	12.9	15.2	18.1	8.3	11.5	15.2
3000	5126	123.72	1532.0	0.03	302.64	237.51	-26950235.71	4.14	8.76	11.06	13.96	4.16	7.36	11.06
4000	5296	149.55	1251.0	0.02	187.1	47.74	-24696838.62	4.65	8.25	10.55	13.45	3.65	6.85	10.55
5000	5439	175.39	1709.0	6.43	5.45	21.03	-22395131.79	5.12	7.78	10.08	12.98	3.18	6.38	10.08
6000	5580	202.56	1877.0	13.49	4.65	8.19	-19893054.75	5.59	7.31	9.61	12.51	2.71	5.91	9.61
10000	6004	306.14	910.0	2.0	4.4	4.61	-9974992.75	7.15	5.75	8.05	10.95	1.15	4.35	8.05
15000	6367	421.8	73.0	0.0	4.08	2.24	1671460.79	8.62	4.28	6.58	9.48	-0.32	2.88	6.58
20000	6622	517.95	0.0	0.0	4.0	16.8	11716335.42	9.72	3.18	5.48	8.38	-1.42	1.78	5.48
