SimulationID	Pseudo_isoT(K)	Density(kg/m^3)	T(K)	σT(K)	P(GPa)	σP(GPa)	 	D_Na(m^2/s)	D_Al(m^2/s)	D_Si(m^2/s)	D_O(m^2/s)
RN142	4534	3500.001321	4537.725662	24.275454	33.60705	0.325001		9.051945E-09	1.001723E-08	7.099087E-09	1.694774E-08
RN150	4534	3600.002031	4526.108810	23.443184	38.76810	0.311677		8.534073E-09	9.469842E-09	6.449595E-09	1.418683E-08
RN003	4824	1800.000137	4803.169181	27.493646	0.37118	0.176210		8.245285E-08	3.403728E-08	2.425167E-08	2.040679E-08
RN009	4824	1900.003355	4844.862786	26.675170	0.66736	0.170957		7.551114E-08	3.391919E-08	2.399285E-08	2.933709E-08
RN015	4824	2000.004505	4809.571664	27.770973	1.00256	0.190745		6.375432E-08	3.016391E-08	2.067021E-08	1.677109E-08
RN023	4824	2100.000401	4850.477873	27.966170	1.56840	0.196576		5.590963E-08	2.926259E-08	2.025946E-08	2.520214E-08
RN031	4824	2200.001005	4821.639783	26.385524	2.17347	0.201180		4.963689E-08	2.541712E-08	1.788879E-08	7.666291E-09
RN039	4824	2250.001096	4830.148968	27.407414	2.58869	0.214685		4.770060E-08	2.599158E-08	1.770125E-08	1.994321E-08
RN047	4824	2300.001057	4797.676407	24.559025	2.93922	0.212836		4.376080E-08	2.362069E-08	1.558098E-08	8.735315E-09
RN055	4824	2400.001105	4814.513620	26.515821	4.01905	0.237142		4.011897E-08	2.337314E-08	1.661082E-08	1.357623E-08
RN063	4824	2500.001096	4823.579554	26.338050	5.27507	0.224334		3.549186E-08	2.185933E-08	1.485131E-08	9.947211E-09
RN071	4824	2600.004334	4828.847358	26.695349	6.78466	0.239341		3.159261E-08	2.235274E-08	1.480146E-08	2.211392E-08
RN079	4824	2700.000113	4803.412644	25.058151	8.48064	0.243447		2.875892E-08	2.058089E-08	1.419141E-08	1.816824E-08
RN087	4824	2800.002586	4831.122104	26.065891	10.56455	0.264518		2.579114E-08	1.854811E-08	1.341374E-08	1.259873E-08
RN095	4824	2900.000972	4834.197719	25.340250	12.94242	0.269453		2.340111E-08	1.795925E-08	1.269627E-08	1.751288E-08
RN103	4824	3000.007665	4820.447660	26.739771	15.61511	0.272735		2.007252E-08	1.625765E-08	1.162019E-08	2.176152E-08
RN111	4824	3100.000681	4825.699471	26.537098	18.65863	0.278127		1.767901E-08	1.554663E-08	1.140147E-08	1.552000E-08
RN119	4824	3200.001704	4854.602069	25.609513	22.25398	0.282609		1.690821E-08	1.484915E-08	1.093595E-08	1.498341E-08
RN127	4824	3300.002355	4845.560333	27.607730	26.10807	0.283301		1.467720E-08	1.371530E-08	9.981361E-09	2.881064E-08
RN135	4824	3400.000875	4820.501310	26.132290	30.30700	0.281037		1.279633E-08	1.319472E-08	9.345366E-09	1.087837E-08
RN143	4824	3500.001321	4816.313788	25.298135	35.10984	0.307112		1.077668E-08	1.192531E-08	8.387252E-09	2.413706E-08
RN151	4824	3600.002031	4809.572330	26.267996	40.46047	0.329487		9.648865E-09	1.014353E-08	7.807009E-09	1.169031E-08
RN004	5000	1800.000137	5106.394079	27.503472	0.61641	0.167280		9.053274E-08	3.920976E-08	2.896577E-08	1.093836E-08
RN010	5000	1900.003355	5097.608227	26.409562	0.91056	0.174188		7.821481E-08	3.774452E-08	2.681258E-08	3.249009E-08
RN016	5000	2000.004505	5119.254308	28.184947	1.35058	0.189612		6.895048E-08	3.544785E-08	2.385458E-08	3.477097E-08
RN024	5000	2100.000401	5129.480347	27.340977	1.92449	0.199854		5.617633E-08	3.086485E-08	2.267275E-08	2.485802E-08
RN032	5000	2200.001005	5172.065585	27.821833	2.70480	0.210639		5.875229E-08	3.126084E-08	2.254016E-08	8.965789E-09
RN040	5000	2250.001096	5111.185704	26.971745	3.02639	0.217003		5.530128E-08	3.126967E-08	2.082066E-08	2.161550E-08
RN048	5000	2300.001057	5134.340178	27.742122	3.52258	0.215360		4.408595E-08	2.878777E-08	1.957095E-08	2.937321E-08
RN056	5000	2400.001105	5156.286222	28.190711	4.67681	0.212739		4.401430E-08	2.818842E-08	1.979697E-08	2.840014E-08
RN064	5000	2500.001096	5119.207614	28.558143	5.89129	0.240358		4.033869E-08	2.556022E-08	1.794615E-08	2.436234E-08
RN072	5000	2600.004334	5136.096800	28.804918	7.49215	0.258600		3.455456E-08	2.490922E-08	1.779274E-08	1.500609E-08
RN080	5000	2700.000113	5137.554952	27.469896	9.33541	0.242926		3.354330E-08	2.499418E-08	1.603139E-08	2.121142E-08
RN088	5000	2800.002586	5141.929702	28.172644	11.43847	0.269445		2.888142E-08	2.307281E-08	1.539770E-08	1.018343E-08
RN096	5000	2900.000972	5157.876941	28.242668	13.95767	0.267546		2.495969E-08	2.049238E-08	1.444936E-08	1.936994E-08
RN104	5000	3000.007665	5135.686105	27.487164	16.66231	0.275857		2.242990E-08	1.928341E-08	1.363742E-08	1.792242E-08
RN112	5000	3100.000681	5143.183268	25.990716	19.85943	0.281631		2.081615E-08	1.727259E-08	1.285863E-08	1.426080E-08
RN120	5000	3200.001704	5147.011534	27.250117	23.42274	0.290650		1.837911E-08	1.594417E-08	1.234579E-08	1.331639E-08
RN128	5000	3300.002355	5148.679015	27.005180	27.44506	0.301943		1.717138E-08	1.668043E-08	1.142340E-08	1.230111E-08
RN136	5000	3400.000875	5090.925418	27.490788	31.66042	0.302064		1.402030E-08	1.392621E-08	1.009568E-08	2.315036E-08
RN144	5000	3500.001321	5136.886157	27.395845	36.83456	0.310621		1.292411E-08	1.374261E-08	1.005423E-08	1.709401E-08
RN152	5000	3600.002031	5116.854341	27.636950	42.21369	0.323890		1.012499E-08	1.246878E-08	8.889271E-09	2.704945E-08
