elements	Na	Al	Si	O
number	16	16	48	128
file	P(GPa)	D_Na(m^2/s)	D_Al(m^2/s)	D_Si(m^2/s)	D_O(m^2/s)
NaAlSi3O8_T4_nvt_a16.5.outcar	-0.253	6.05854315418e-08	1.00360980854e-08	8.59417005676e-09	1.14231357145e-08
NaAlSi3O8_T4_nvt_a17.0.outcar	-0.255	5.80091560906e-08	1.02486191037e-08	1.01462431212e-08	1.1788386753e-08
NaAlSi3O8_T4_nvt_a17.5.outcar	-0.241	7.28195015096e-08	1.23539270902e-08	1.83517362226e-08	2.02002773141e-08
NaAlSi3O8_T4_nvt_a18.0.outcar	-0.274	9.13541813854e-08	1.1318806208e-08	9.01085039041e-09	1.44390522477e-08
NaAlSi3O8_T4_nvt_a18.5.outcar	-0.259	6.68414803354e-08	1.08629843788e-08	1.65389014063e-08	1.86849107298e-08
NaAlSi3O8_T4_nvt_a19.0.outcar	-0.269	8.90232220744e-08	9.55537091652e-09	1.48460768231e-08	1.49301710027e-08
NaAlSi3O8_T5_nvt_a12.0.outcar	55.6	8.624059847e-09	3.89836220007e-09	5.21821861603e-09	7.97188299969e-09
NaAlSi3O8_T5_nvt_a12.5.outcar	34.0	1.38694352309e-08	9.68340767728e-09	1.05317899811e-08	1.26754347712e-08
NaAlSi3O8_T5_nvt_a13.0.outcar	20.5	2.40755770788e-08	1.37120460611e-08	9.5207370886e-09	1.48235544555e-08
NaAlSi3O8_T5_nvt_a13.5.outcar	12.4	3.60283645328e-08	1.15231037025e-08	1.60882300736e-08	1.83072855026e-08
NaAlSi3O8_T5_nvt_a14.0.outcar	7.12	4.65219290884e-08	1.43170566328e-08	1.29224239553e-08	1.90790308781e-08
NaAlSi3O8_T5_nvt_a14.5.outcar	4.11	5.19305275419e-08	2.70193186837e-08	1.77808848571e-08	1.95683589619e-08
NaAlSi3O8_T5_nvt_a15.0.outcar	2.4	5.6367454795e-08	1.97971045873e-08	2.22430452562e-08	2.66688292425e-08
NaAlSi3O8_T5_nvt_a15.5.outcar	1.4	5.37290838275e-08	1.99425168702e-08	2.21829889714e-08	2.88127359608e-08
NaAlSi3O8_T5_nvt_a16.0.outcar	0.638	8.7862196272e-08	2.04735098706e-08	2.88369959519e-08	3.26460038371e-08
NaAlSi3O8_T5_nvt_a16.5.outcar	0.361	1.34083601815e-07	3.21114421463e-08	2.93774571119e-08	3.74604779232e-08
NaAlSi3O8_T5_nvt_a17.0.outcar	0.207	1.02291464612e-07	2.39755372658e-08	3.79140597779e-08	4.37240588872e-08
NaAlSi3O8_T5_nvt_a17.5.outcar	0.174	1.33623091245e-07	2.85024355135e-08	4.93548444424e-08	5.02790906466e-08
NaAlSi3O8_T5_nvt_a18.0.outcar	0.0474	1.43605454353e-07	4.06873795053e-08	5.90217422839e-08	5.21942307047e-08
NaAlSi3O8_T5_nvt_a18.5.outcar	0.0109	1.20513969359e-07	3.4847052606e-08	6.25199724688e-08	5.41793431745e-08
