Densities in kg/m3 for which the hugoniot equation equals 0, corresponding pressures in GPa from BM3 fit and Energies from Hugoniot equation
T(K)	rho(kg/m3)	P(GPa)	rho0(kg/m3)	K0(GPa)	K'0	Chi2red	E(J/kg)	Up_crust(km/s)	Up_Eimp1(km/s)	Up_Eimp2(km/s)	Up_Eimp3(km/s)	Up_Mimp1(km/s)	Up_Mimp2(km/s)	Up_Mimp3(km/s)
0	2600	0.0	-	-	-	-	-35845770.73	0	12.9	15.2	18.1	8.3	11.5	15.2
3000	4699	86.35	1532.0	0.03	302.64	237.51	-28427808.74	3.85	9.67	11.97	14.87	5.07	8.27	11.97
4000	4833	105.04	1251.0	0.02	187.1	47.74	-26512564.6	4.32	9.26	11.56	14.46	4.66	7.86	11.56
5000	4970	126.43	1709.0	6.43	5.45	21.03	-24250732.73	4.82	8.81	11.11	14.01	4.21	7.41	11.11
6000	5095	148.21	1877.0	13.49	4.65	8.19	-21886948.9	5.28	8.39	10.69	13.59	3.79	6.99	10.69
10000	5468	231.15	910.0	2.0	4.4	4.61	-12531336.93	6.83	7.0	9.3	12.2	2.4	5.6	9.3
15000	5763	320.97	73.0	0.0	4.08	2.24	-1966233.62	8.23	5.74	8.04	10.94	1.14	4.34	8.04
20000	5953	396.77	0.0	0.0	4.0	16.8	7131354.6	9.27	4.8	7.1	10.0	0.2	3.4	7.1
