ρ (kg/m^3)	T (K)	P (GPa)	Thermal P Coeff (GPa/K)	α (1/K)	β (1/GPa)
3001.92000	4700	15	3.29855E-03	3.8693E-05	0.0117302
2990.29000	4800	15	3.28599E-03	3.8911E-05	0.0118416
2978.64000	4900	15	3.27393E-03	3.9152E-05	0.0119587
2966.97000	5000	15	3.26226E-03	3.9414E-05	0.0120818
2955.25000	5100	15	3.25097E-03	3.9697E-05	0.0122108
2943.50000	5200	15	3.24004E-03	4.0000E-05	0.0123456
2931.70000	5300	15	3.22941E-03	4.0323E-05	0.0124863
2919.86000	5400	15	3.21904E-03	4.0665E-05	0.0126327
2907.96000	5500	15	3.20891E-03	4.1026E-05	0.0127849
3302.97000	2500	16	4.05714E-03	4.1912E-05	0.0103303
3289.27000	2600	16	4.00342E-03	4.1214E-05	0.0102947
3275.84000	2700	16	3.95365E-03	4.0594E-05	0.0102675
3262.67000	2800	16	3.90742E-03	4.0044E-05	0.0102482
3249.71000	2900	16	3.86437E-03	3.9558E-05	0.0102365
3236.95000	3000	16	3.82422E-03	3.9129E-05	0.0102318
3224.37000	3100	16	3.78669E-03	3.8753E-05	0.0102339
3211.95000	3200	16	3.75155E-03	3.8426E-05	0.0102426
3199.68000	3300	16	3.71858E-03	3.8143E-05	0.0102575
3187.54000	3400	16	3.68763E-03	3.7903E-05	0.0102784
3175.51000	3500	16	3.65848E-03	3.7702E-05	0.0103053
3163.59000	3600	16	3.63100E-03	3.7537E-05	0.0103379
3151.76000	3700	16	3.60508E-03	3.7407E-05	0.0103761
3140.01000	3800	16	3.58058E-03	3.7309E-05	0.0104198
3128.32000	3900	16	3.55741E-03	3.7243E-05	0.0104690
3116.70000	4000	16	3.53544E-03	3.7206E-05	0.0105236
3105.13000	4100	16	3.51461E-03	3.7197E-05	0.0105834
3093.60000	4200	16	3.49481E-03	3.7215E-05	0.0106486
3082.10000	4300	16	3.47599E-03	3.7259E-05	0.0107191
3070.63000	4400	16	3.45805E-03	3.7329E-05	0.0107948
3059.17000	4500	16	3.44095E-03	3.7423E-05	0.0108758
3047.73000	4600	16	3.42462E-03	3.7541E-05	0.0109620
3036.29000	4700	16	3.40899E-03	3.7681E-05	0.0110535
3024.85000	4800	16	3.39403E-03	3.7845E-05	0.0111503
3013.39000	4900	16	3.37967E-03	3.8029E-05	0.0112524
3001.92000	5000	16	3.36587E-03	3.8236E-05	0.0113598
2990.43000	5100	16	3.35258E-03	3.8463E-05	0.0114726
2978.92000	5200	16	3.33978E-03	3.8710E-05	0.0115906
2967.37000	5300	16	3.32738E-03	3.8977E-05	0.0117140
2955.78000	5400	16	3.31537E-03	3.9264E-05	0.0118429
2944.16000	5500	16	3.30372E-03	3.9569E-05	0.0119770
3336.51000	2500	17	4.28183E-03	4.2322E-05	0.0098841
3322.55000	2600	17	4.21880E-03	4.1540E-05	0.0098463
3308.89000	2700	17	4.16040E-03	4.0840E-05	0.0098164
3295.51000	2800	17	4.10615E-03	4.0216E-05	0.0097940
3282.38000	2900	17	4.05563E-03	3.9659E-05	0.0097787
3269.47000	3000	17	4.00850E-03	3.9163E-05	0.0097700
3256.76000	3100	17	3.96443E-03	3.8723E-05	0.0097676
3244.24000	3200	17	3.92316E-03	3.8334E-05	0.0097713
3231.89000	3300	17	3.88444E-03	3.7993E-05	0.0097807
3219.68000	3400	17	3.84805E-03	3.7695E-05	0.0097959
3207.61000	3500	17	3.81380E-03	3.7438E-05	0.0098163
3195.66000	3600	17	3.78152E-03	3.7219E-05	0.0098422
3183.82000	3700	17	3.75107E-03	3.7035E-05	0.0098731
3172.07000	3800	17	3.72227E-03	3.6885E-05	0.0099092
3160.41000	3900	17	3.69501E-03	3.6767E-05	0.0099503
3148.83000	4000	17	3.66919E-03	3.6678E-05	0.0099963
3137.31000	4100	17	3.64470E-03	3.6619E-05	0.0100472
3125.85000	4200	17	3.62143E-03	3.6587E-05	0.0101029
3114.43000	4300	17	3.59932E-03	3.6581E-05	0.0101633
3103.06000	4400	17	3.57826E-03	3.6601E-05	0.0102286
3091.72000	4500	17	3.55819E-03	3.6645E-05	0.0102986
3080.40000	4600	17	3.53905E-03	3.6712E-05	0.0103734
3069.10000	4700	17	3.52075E-03	3.6802E-05	0.0104530
3057.81000	4800	17	3.50326E-03	3.6915E-05	0.0105374
3046.52000	4900	17	3.48650E-03	3.7049E-05	0.0106265
3035.23000	5000	17	3.47043E-03	3.7205E-05	0.0107205
3023.93000	5100	17	3.45499E-03	3.7381E-05	0.0108194
3012.62000	5200	17	3.44014E-03	3.7577E-05	0.0109231
3001.29000	5300	17	3.42584E-03	3.7793E-05	0.0110318
2989.93000	5400	17	3.41204E-03	3.8028E-05	0.0111453
2978.55000	5500	17	3.39872E-03	3.8282E-05	0.0112636
3368.95000	2500	18	4.51044E-03	4.2748E-05	0.0094776
3354.73000	2600	18	4.43794E-03	4.1886E-05	0.0094382
3340.84000	2700	18	4.37074E-03	4.1113E-05	0.0094063
3327.25000	2800	18	4.30832E-03	4.0418E-05	0.0093814
3313.94000	2900	18	4.25019E-03	3.9795E-05	0.0093631
3300.87000	3000	18	4.19594E-03	3.9236E-05	0.0093510
3288.03000	3100	18	4.14522E-03	3.8737E-05	0.0093449
3275.39000	3200	18	4.09770E-03	3.8291E-05	0.0093444
3262.94000	3300	18	4.05311E-03	3.7894E-05	0.0093494
3250.65000	3400	18	4.01119E-03	3.7543E-05	0.0093595
3238.52000	3500	18	3.97174E-03	3.7234E-05	0.0093747
3226.53000	3600	18	3.93454E-03	3.6964E-05	0.0093949
3214.67000	3700	18	3.89943E-03	3.6732E-05	0.0094197
3202.91000	3800	18	3.86623E-03	3.6533E-05	0.0094494
3191.26000	3900	18	3.83482E-03	3.6368E-05	0.0094835
3179.70000	4000	18	3.80507E-03	3.6233E-05	0.0095222
3168.21000	4100	18	3.77682E-03	3.6127E-05	0.0095654
3156.80000	4200	18	3.74999E-03	3.6049E-05	0.0096130
3145.45000	4300	18	3.72449E-03	3.5997E-05	0.0096649
3134.15000	4400	18	3.70022E-03	3.5971E-05	0.0097213
3122.90000	4500	18	3.67709E-03	3.5969E-05	0.0097820
3111.69000	4600	18	3.65503E-03	3.5991E-05	0.0098471
3100.50000	4700	18	3.63397E-03	3.6036E-05	0.0099164
3089.34000	4800	18	3.61384E-03	3.6103E-05	0.0099902
3078.19000	4900	18	3.59458E-03	3.6191E-05	0.0100683
3067.05000	5000	18	3.57613E-03	3.6301E-05	0.0101508
3055.92000	5100	18	3.55844E-03	3.6430E-05	0.0102377
3044.79000	5200	18	3.54145E-03	3.6580E-05	0.0103291
3033.64000	5300	18	3.52511E-03	3.6749E-05	0.0104249
3022.49000	5400	18	3.50939E-03	3.6937E-05	0.0105252
3011.31000	5500	18	3.49423E-03	3.7144E-05	0.0106300
3400.39000	2500	19	4.74286E-03	4.3187E-05	0.0091057
3385.90000	2600	19	4.66070E-03	4.2250E-05	0.0090651
3371.77000	2700	19	4.58457E-03	4.1406E-05	0.0090315
3357.97000	2800	19	4.51383E-03	4.0645E-05	0.0090045
3344.47000	2900	19	4.44795E-03	3.9960E-05	0.0089838
3331.23000	3000	19	4.38646E-03	3.9342E-05	0.0089690
3318.25000	3100	19	4.32896E-03	3.8786E-05	0.0089597
3305.49000	3200	19	4.27509E-03	3.8287E-05	0.0089558
3292.93000	3300	19	4.22453E-03	3.7839E-05	0.0089569
3280.56000	3400	19	4.17699E-03	3.7438E-05	0.0089629
3268.36000	3500	19	4.13223E-03	3.7081E-05	0.0089736
3256.32000	3600	19	4.09003E-03	3.6765E-05	0.0089888
3244.41000	3700	19	4.05018E-03	3.6487E-05	0.0090086
3232.64000	3800	19	4.01250E-03	3.6244E-05	0.0090327
3220.98000	3900	19	3.97684E-03	3.6034E-05	0.0090610
3209.42000	4000	19	3.94304E-03	3.5856E-05	0.0090935
3197.96000	4100	19	3.91096E-03	3.5707E-05	0.0091301
3186.58000	4200	19	3.88050E-03	3.5587E-05	0.0091708
3175.27000	4300	19	3.85155E-03	3.5494E-05	0.0092154
3164.04000	4400	19	3.82398E-03	3.5426E-05	0.0092641
3152.85000	4500	19	3.79771E-03	3.5383E-05	0.0093168
3141.72000	4600	19	3.77266E-03	3.5363E-05	0.0093735
3130.63000	4700	19	3.74875E-03	3.5366E-05	0.0094341
3119.58000	4800	19	3.72590E-03	3.5391E-05	0.0094988
3108.55000	4900	19	3.70405E-03	3.5438E-05	0.0095674
3097.54000	5000	19	3.68313E-03	3.5505E-05	0.0096399
3086.55000	5100	19	3.66308E-03	3.5593E-05	0.0097166
3075.57000	5200	19	3.64385E-03	3.5700E-05	0.0097973
3064.59000	5300	19	3.62539E-03	3.5826E-05	0.0098820
3053.61000	5400	19	3.60764E-03	3.5971E-05	0.0099709
3042.62000	5500	19	3.59056E-03	3.6135E-05	0.0100638
3430.90000	2500	20	4.97890E-03	4.3635E-05	0.0087639
3416.14000	2600	20	4.88698E-03	4.2626E-05	0.0087224
3401.77000	2700	20	4.80175E-03	4.1715E-05	0.0086875
3387.75000	2800	20	4.72256E-03	4.0892E-05	0.0086589
3374.05000	2900	20	4.64881E-03	4.0148E-05	0.0086362
3360.65000	3000	20	4.57997E-03	3.9475E-05	0.0086191
3347.51000	3100	20	4.51559E-03	3.8866E-05	0.0086072
3334.62000	3200	20	4.45526E-03	3.8316E-05	0.0086003
3321.95000	3300	20	4.39863E-03	3.7820E-05	0.0085982
3309.49000	3400	20	4.34537E-03	3.7373E-05	0.0086006
3297.21000	3500	20	4.29523E-03	3.6971E-05	0.0086075
3285.10000	3600	20	4.24793E-03	3.6612E-05	0.0086187
3273.15000	3700	20	4.20326E-03	3.6291E-05	0.0086339
3261.34000	3800	20	4.16103E-03	3.6007E-05	0.0086533
3249.66000	3900	20	4.12104E-03	3.5757E-05	0.0086766
3238.10000	4000	20	4.08313E-03	3.5539E-05	0.0087038
3226.64000	4100	20	4.04715E-03	3.5351E-05	0.0087347
3215.28000	4200	20	4.01298E-03	3.5192E-05	0.0087694
3204.01000	4300	20	3.98048E-03	3.5060E-05	0.0088079
3192.81000	4400	20	3.94954E-03	3.4953E-05	0.0088499
3181.68000	4500	20	3.92007E-03	3.4872E-05	0.0088958
3170.62000	4600	20	3.89197E-03	3.4814E-05	0.0089452
3159.61000	4700	20	3.86513E-03	3.4780E-05	0.0089983
3148.64000	4800	20	3.83949E-03	3.4767E-05	0.0090550
3137.71000	4900	20	3.81498E-03	3.4775E-05	0.0091154
3126.81000	5000	20	3.79151E-03	3.4804E-05	0.0091794
3115.94000	5100	20	3.76904E-03	3.4853E-05	0.0092471
3105.09000	5200	20	3.74749E-03	3.4921E-05	0.0093185
3094.25000	5300	20	3.72681E-03	3.5008E-05	0.0093936
3083.42000	5400	20	3.70695E-03	3.5114E-05	0.0094726
3072.60000	5500	20	3.68785E-03	3.5238E-05	0.0095552
3460.55000	2500	21	5.21849E-03	4.4089E-05	0.0084486
3445.52000	2600	21	5.11659E-03	4.3012E-05	0.0084063
3430.90000	2700	21	5.02215E-03	4.2038E-05	0.0083704
3416.66000	2800	21	4.93439E-03	4.1156E-05	0.0083406
3402.77000	2900	21	4.85268E-03	4.0356E-05	0.0083162
3389.19000	3000	21	4.77638E-03	3.9630E-05	0.0082972
3375.89000	3100	21	4.70501E-03	3.8972E-05	0.0082831
3362.87000	3200	21	4.63812E-03	3.8375E-05	0.0082737
3350.08000	3300	21	4.57533E-03	3.7833E-05	0.0082688
3337.51000	3400	21	4.51628E-03	3.7342E-05	0.0082684
3325.15000	3500	21	4.46066E-03	3.6898E-05	0.0082719
3312.97000	3600	21	4.40819E-03	3.6498E-05	0.0082795
3300.96000	3700	21	4.35864E-03	3.6138E-05	0.0082910
3289.10000	3800	21	4.31176E-03	3.5815E-05	0.0083063
3277.39000	3900	21	4.26738E-03	3.5527E-05	0.0083253
3265.81000	4000	21	4.22529E-03	3.5272E-05	0.0083478
3254.35000	4100	21	4.18535E-03	3.5048E-05	0.0083739
3243.00000	4200	21	4.14740E-03	3.4853E-05	0.0084035
3231.74000	4300	21	4.11130E-03	3.4685E-05	0.0084365
3220.58000	4400	21	4.07694E-03	3.4544E-05	0.0084729
3209.49000	4500	21	4.04419E-03	3.4427E-05	0.0085127
3198.48000	4600	21	4.01295E-03	3.4335E-05	0.0085559
3187.52000	4700	21	3.98314E-03	3.4265E-05	0.0086024
3176.63000	4800	21	3.95467E-03	3.4217E-05	0.0086523
3165.78000	4900	21	3.92742E-03	3.4190E-05	0.0087056
3154.98000	5000	21	3.90134E-03	3.4184E-05	0.0087621
3144.21000	5100	21	3.87637E-03	3.4198E-05	0.0088221
3133.47000	5200	21	3.85243E-03	3.4231E-05	0.0088854
3122.76000	5300	21	3.82947E-03	3.4282E-05	0.0089522
3112.06000	5400	21	3.80742E-03	3.4352E-05	0.0090223
3101.37000	5500	21	3.78624E-03	3.4440E-05	0.0090960
3489.40000	2500	22	5.46146E-03	4.4547E-05	0.0081565
3474.09000	2600	22	5.34947E-03	4.3405E-05	0.0081139
3459.22000	2700	22	5.24569E-03	4.2371E-05	0.0080772
3444.76000	2800	22	5.14924E-03	4.1432E-05	0.0080463
3430.67000	2900	22	5.05941E-03	4.0580E-05	0.0080206
3416.91000	3000	22	4.97556E-03	3.9804E-05	0.0080000
3403.46000	3100	22	4.89714E-03	3.9099E-05	0.0079840
3390.29000	3200	22	4.82360E-03	3.8457E-05	0.0079726
3377.37000	3300	22	4.75456E-03	3.7872E-05	0.0079654
3364.70000	3400	22	4.68963E-03	3.7340E-05	0.0079623
3352.24000	3500	22	4.62846E-03	3.6857E-05	0.0079631
3339.98000	3600	22	4.57075E-03	3.6418E-05	0.0079677
3327.91000	3700	22	4.51624E-03	3.6021E-05	0.0079759
3316.00000	3800	22	4.46466E-03	3.5662E-05	0.0079877
3304.25000	3900	22	4.41582E-03	3.5339E-05	0.0080029
3292.65000	4000	22	4.36950E-03	3.5050E-05	0.0080214
3281.17000	4100	22	4.32553E-03	3.4792E-05	0.0080433
3269.81000	4200	22	4.28374E-03	3.4563E-05	0.0080684
3258.56000	4300	22	4.24399E-03	3.4363E-05	0.0080967
3247.41000	4400	22	4.20614E-03	3.4188E-05	0.0081282
3236.35000	4500	22	4.17006E-03	3.4040E-05	0.0081628
3225.38000	4600	22	4.13565E-03	3.3915E-05	0.0082006
3214.47000	4700	22	4.10279E-03	3.3813E-05	0.0082414
3203.64000	4800	22	4.07139E-03	3.3733E-05	0.0082853
3192.86000	4900	22	4.04137E-03	3.3674E-05	0.0083323
3182.13000	5000	22	4.01263E-03	3.3635E-05	0.0083824
3171.45000	5100	22	3.98513E-03	3.3617E-05	0.0084355
3160.81000	5200	22	3.95874E-03	3.3617E-05	0.0084918
3150.20000	5300	22	3.93344E-03	3.3636E-05	0.0085512
3139.61000	5400	22	3.90914E-03	3.3673E-05	0.0086138
3129.05000	5500	22	3.88581E-03	3.3727E-05	0.0086795
3517.49000	2500	23	5.70770E-03	4.5007E-05	0.0078853
3501.91000	2600	23	5.58550E-03	4.3803E-05	0.0078423
3486.80000	2700	23	5.47224E-03	4.2711E-05	0.0078051
3472.11000	2800	23	5.36700E-03	4.1719E-05	0.0077733
3457.82000	2900	23	5.26897E-03	4.0817E-05	0.0077467
3443.87000	3000	23	5.17745E-03	3.9994E-05	0.0077247
3430.26000	3100	23	5.09183E-03	3.9244E-05	0.0077072
3416.94000	3200	23	5.01158E-03	3.8559E-05	0.0076940
3403.90000	3300	23	4.93622E-03	3.7934E-05	0.0076848
3391.11000	3400	23	4.86536E-03	3.7364E-05	0.0076795
3378.55000	3500	23	4.79857E-03	3.6843E-05	0.0076779
3366.21000	3600	23	4.73555E-03	3.6368E-05	0.0076798
3354.06000	3700	23	4.67601E-03	3.5936E-05	0.0076852
3342.10000	3800	23	4.61967E-03	3.5543E-05	0.0076939
3330.30000	3900	23	4.56631E-03	3.5187E-05	0.0077059
3318.66000	4000	23	4.51570E-03	3.4866E-05	0.0077210
3307.16000	4100	23	4.46764E-03	3.4576E-05	0.0077392
3295.78000	4200	23	4.42197E-03	3.4316E-05	0.0077604
3284.53000	4300	23	4.37851E-03	3.4085E-05	0.0077846
3273.39000	4400	23	4.33712E-03	3.3881E-05	0.0078118
3262.35000	4500	23	4.29766E-03	3.3702E-05	0.0078418
3251.40000	4600	23	4.26002E-03	3.3547E-05	0.0078748
3240.53000	4700	23	4.22407E-03	3.3415E-05	0.0079106
3229.74000	4800	23	4.18972E-03	3.3305E-05	0.0079493
3219.02000	4900	23	4.15686E-03	3.3217E-05	0.0079909
3208.35000	5000	23	4.12542E-03	3.3149E-05	0.0080352
3197.74000	5100	23	4.09530E-03	3.3100E-05	0.0080825
3187.18000	5200	23	4.06642E-03	3.3071E-05	0.0081326
3176.66000	5300	23	4.03873E-03	3.3059E-05	0.0081856
3166.18000	5400	23	4.01216E-03	3.3066E-05	0.0082414
3155.72000	5500	23	3.98661E-03	3.3090E-05	0.0083003
3544.89000	2500	24	5.95710E-03	4.5468E-05	0.0076325
3529.03000	2600	24	5.82455E-03	4.4205E-05	0.0075894
3513.67000	2700	24	5.70170E-03	4.3058E-05	0.0075518
3498.76000	2800	24	5.58755E-03	4.2015E-05	0.0075194
3484.26000	2900	24	5.48122E-03	4.1065E-05	0.0074919
3470.13000	3000	24	5.38195E-03	4.0197E-05	0.0074688
3456.35000	3100	24	5.28908E-03	3.9404E-05	0.0074501
3442.88000	3200	24	5.20202E-03	3.8679E-05	0.0074354
3429.71000	3300	24	5.12026E-03	3.8015E-05	0.0074245
3416.80000	3400	24	5.04335E-03	3.7408E-05	0.0074173
3404.14000	3500	24	4.97089E-03	3.6852E-05	0.0074136
3391.70000	3600	24	4.90250E-03	3.6344E-05	0.0074133
3379.48000	3700	24	4.83789E-03	3.5879E-05	0.0074161
3367.45000	3800	24	4.77674E-03	3.5454E-05	0.0074222
3355.60000	3900	24	4.71880E-03	3.5067E-05	0.0074314
3343.91000	4000	24	4.66384E-03	3.4715E-05	0.0074434
3332.38000	4100	24	4.61165E-03	3.4396E-05	0.0074584
3320.98000	4200	24	4.56203E-03	3.4107E-05	0.0074762
3309.72000	4300	24	4.51482E-03	3.3847E-05	0.0074969
3298.57000	4400	24	4.46985E-03	3.3614E-05	0.0075202
3287.54000	4500	24	4.42697E-03	3.3407E-05	0.0075463
3276.61000	4600	24	4.38605E-03	3.3225E-05	0.0075751
3265.76000	4700	24	4.34697E-03	3.3065E-05	0.0076065
3255.01000	4800	24	4.30962E-03	3.2928E-05	0.0076406
3244.33000	4900	24	4.27389E-03	3.2812E-05	0.0076774
3233.71000	5000	24	4.23969E-03	3.2717E-05	0.0077168
3223.16000	5100	24	4.20692E-03	3.2641E-05	0.0077588
3212.67000	5200	24	4.17551E-03	3.2583E-05	0.0078035
3202.23000	5300	24	4.14538E-03	3.2545E-05	0.0078508
3191.83000	5400	24	4.11645E-03	3.2523E-05	0.0079008
3181.46000	5500	24	4.08867E-03	3.2519E-05	0.0079535
3571.62000	2500	25	6.20955E-03	4.5929E-05	0.0073964
3555.49000	2600	25	6.06652E-03	4.4609E-05	0.0073533
3539.88000	2700	25	5.93398E-03	4.3410E-05	0.0073154
3524.74000	2800	25	5.81081E-03	4.2318E-05	0.0072825
3510.04000	2900	25	5.69609E-03	4.1321E-05	0.0072543
3495.72000	3000	25	5.58898E-03	4.0410E-05	0.0072304
3481.77000	3100	25	5.48877E-03	3.9577E-05	0.0072105
3468.16000	3200	25	5.39483E-03	3.8814E-05	0.0071946
3454.84000	3300	25	5.30660E-03	3.8113E-05	0.0071823
3441.81000	3400	25	5.22360E-03	3.7471E-05	0.0071734
3429.04000	3500	25	5.14538E-03	3.6882E-05	0.0071679
3416.51000	3600	25	5.07156E-03	3.6341E-05	0.0071656
3404.20000	3700	25	5.00180E-03	3.5845E-05	0.0071664
3392.10000	3800	25	4.93578E-03	3.5390E-05	0.0071702
3380.19000	3900	25	4.87324E-03	3.4974E-05	0.0071767
3368.45000	4000	25	4.81388E-03	3.4594E-05	0.0071862
3356.88000	4100	25	4.75750E-03	3.4246E-05	0.0071984
3345.46000	4200	25	4.70390E-03	3.3930E-05	0.0072132
3334.17000	4300	25	4.65289E-03	3.3644E-05	0.0072307
3323.02000	4400	25	4.60429E-03	3.3384E-05	0.0072507
3311.98000	4500	25	4.55794E-03	3.3151E-05	0.0072733
3301.06000	4600	25	4.51371E-03	3.2943E-05	0.0072984
3290.23000	4700	25	4.47146E-03	3.2758E-05	0.0073260
3279.50000	4800	25	4.43107E-03	3.2595E-05	0.0073560
3268.85000	4900	25	4.39242E-03	3.2454E-05	0.0073885
3258.28000	5000	25	4.35543E-03	3.2333E-05	0.0074235
3247.78000	5100	25	4.31998E-03	3.2231E-05	0.0074610
3237.34000	5200	25	4.28599E-03	3.2148E-05	0.0075008
3226.96000	5300	25	4.25338E-03	3.2084E-05	0.0075431
3216.63000	5400	25	4.22208E-03	3.2037E-05	0.0075879
3206.35000	5500	25	4.19201E-03	3.2007E-05	0.0076352
3597.73000	2500	26	6.46491E-03	4.6388E-05	0.0071753
3581.33000	2600	26	6.31132E-03	4.5014E-05	0.0071322
3565.47000	2700	26	6.16896E-03	4.3764E-05	0.0070942
3550.11000	2800	26	6.03669E-03	4.2625E-05	0.0070610
3535.20000	2900	26	5.91347E-03	4.1585E-05	0.0070322
3520.69000	3000	26	5.79844E-03	4.0633E-05	0.0070076
3506.57000	3100	26	5.69081E-03	3.9761E-05	0.0069869
3492.80000	3200	26	5.58992E-03	3.8961E-05	0.0069698
3479.35000	3300	26	5.49515E-03	3.8226E-05	0.0069562
3466.19000	3400	26	5.40599E-03	3.7550E-05	0.0069460
3453.31000	3500	26	5.32197E-03	3.6929E-05	0.0069390
3440.68000	3600	26	5.24266E-03	3.6358E-05	0.0069350
3428.29000	3700	26	5.16771E-03	3.5832E-05	0.0069339
3416.11000	3800	26	5.09676E-03	3.5349E-05	0.0069356
3404.13000	3900	26	5.02953E-03	3.4905E-05	0.0069400
3392.34000	4000	26	4.96574E-03	3.4498E-05	0.0069471
3380.72000	4100	26	4.90516E-03	3.4124E-05	0.0069568
3369.26000	4200	26	4.84753E-03	3.3783E-05	0.0069690
3357.95000	4300	26	4.79267E-03	3.3471E-05	0.0069837
3346.78000	4400	26	4.74040E-03	3.3187E-05	0.0070008
3335.73000	4500	26	4.69055E-03	3.2929E-05	0.0070203
3324.81000	4600	26	4.64297E-03	3.2696E-05	0.0070421
3313.99000	4700	26	4.59751E-03	3.2487E-05	0.0070663
3303.27000	4800	26	4.55404E-03	3.2301E-05	0.0070928
3292.65000	4900	26	4.51245E-03	3.2136E-05	0.0071215
3282.11000	5000	26	4.47262E-03	3.1991E-05	0.0071526
3271.65000	5100	26	4.43445E-03	3.1866E-05	0.0071860
3261.25000	5200	26	4.39786E-03	3.1760E-05	0.0072216
3250.93000	5300	26	4.36274E-03	3.1671E-05	0.0072595
3240.66000	5400	26	4.32902E-03	3.1601E-05	0.0072997
3230.44000	5500	26	4.29663E-03	3.1547E-05	0.0073422
3623.26000	2500	27	6.72310E-03	4.6845E-05	0.0069677
3606.59000	2600	27	6.55880E-03	4.5418E-05	0.0069248
3590.48000	2700	27	6.40655E-03	4.4120E-05	0.0068867
3574.89000	2800	27	6.26510E-03	4.2936E-05	0.0068533
3559.77000	2900	27	6.13330E-03	4.1854E-05	0.0068241
3545.08000	3000	27	6.01026E-03	4.0863E-05	0.0067988
3530.79000	3100	27	5.89514E-03	3.9954E-05	0.0067774
3516.86000	3200	27	5.78722E-03	3.9118E-05	0.0067594
3503.26000	3300	27	5.68585E-03	3.8350E-05	0.0067448
3489.98000	3400	27	5.59047E-03	3.7643E-05	0.0067334
3476.98000	3500	27	5.50058E-03	3.6991E-05	0.0067250
3464.25000	3600	27	5.41574E-03	3.6391E-05	0.0067195
3451.76000	3700	27	5.33553E-03	3.5837E-05	0.0067167
3439.50000	3800	27	5.25962E-03	3.5327E-05	0.0067167
3427.45000	3900	27	5.18767E-03	3.4857E-05	0.0067193
3415.60000	4000	27	5.11939E-03	3.4424E-05	0.0067243
3403.93000	4100	27	5.05453E-03	3.4026E-05	0.0067318
3392.43000	4200	27	4.99284E-03	3.3660E-05	0.0067417
3381.09000	4300	27	4.93410E-03	3.3325E-05	0.0067539
3369.89000	4400	27	4.87815E-03	3.3017E-05	0.0067684
3358.83000	4500	27	4.82476E-03	3.2737E-05	0.0067851
3347.90000	4600	27	4.77378E-03	3.2481E-05	0.0068041
3337.08000	4700	27	4.72508E-03	3.2250E-05	0.0068252
3326.37000	4800	27	4.67850E-03	3.2041E-05	0.0068486
3315.76000	4900	27	4.63393E-03	3.1854E-05	0.0068740
3305.25000	5000	27	4.59124E-03	3.1687E-05	0.0069016
3294.81000	5100	27	4.55032E-03	3.1540E-05	0.0069314
3284.46000	5200	27	4.51108E-03	3.1412E-05	0.0069632
3274.18000	5300	27	4.47343E-03	3.1301E-05	0.0069972
3263.96000	5400	27	4.43726E-03	3.1208E-05	0.0070332
3253.80000	5500	27	4.40252E-03	3.1132E-05	0.0070715
3648.23000	2500	28	6.98403E-03	4.7299E-05	0.0067724
3631.29000	2600	28	6.80892E-03	4.5822E-05	0.0067297
3614.94000	2700	28	6.64666E-03	4.4477E-05	0.0066917
3599.12000	2800	28	6.49590E-03	4.3250E-05	0.0066581
3583.79000	2900	28	6.35546E-03	4.2128E-05	0.0066286
3568.91000	3000	28	6.22437E-03	4.1099E-05	0.0066029
3554.44000	3100	28	6.10168E-03	4.0154E-05	0.0065808
3540.35000	3200	28	5.98666E-03	3.9285E-05	0.0065621
3526.62000	3300	28	5.87862E-03	3.8485E-05	0.0065466
3513.20000	3400	28	5.77697E-03	3.7747E-05	0.0065341
3500.09000	3500	28	5.68116E-03	3.7067E-05	0.0065246
3487.25000	3600	28	5.59072E-03	3.6439E-05	0.0065177
3474.67000	3700	28	5.50523E-03	3.5859E-05	0.0065136
3462.32000	3800	28	5.42429E-03	3.5323E-05	0.0065120
3450.20000	3900	28	5.34758E-03	3.4828E-05	0.0065128
3438.28000	4000	28	5.27478E-03	3.4371E-05	0.0065161
3426.56000	4100	28	5.20560E-03	3.3949E-05	0.0065217
3415.01000	4200	28	5.13981E-03	3.3560E-05	0.0065295
3403.63000	4300	28	5.07716E-03	3.3202E-05	0.0065395
3392.41000	4400	28	5.01746E-03	3.2873E-05	0.0065517
3381.33000	4500	28	4.96050E-03	3.2571E-05	0.0065660
3370.38000	4600	28	4.90613E-03	3.2294E-05	0.0065824
3359.56000	4700	28	4.85414E-03	3.2042E-05	0.0066009
3348.85000	4800	28	4.80442E-03	3.1812E-05	0.0066214
3338.25000	4900	28	4.75684E-03	3.1604E-05	0.0066439
3327.74000	5000	28	4.71126E-03	3.1417E-05	0.0066684
3317.33000	5100	28	4.66756E-03	3.1249E-05	0.0066949
3307.01000	5200	28	4.62565E-03	3.1100E-05	0.0067234
3296.76000	5300	28	4.58543E-03	3.0969E-05	0.0067538
3286.59000	5400	28	4.54679E-03	3.0856E-05	0.0067863
3276.48000	5500	28	4.50966E-03	3.0759E-05	0.0068207
3672.68000	2500	29	7.24759E-03	4.7749E-05	0.0065883
3655.47000	2600	29	7.06158E-03	4.6224E-05	0.0065458
3638.87000	2700	29	6.88922E-03	4.4835E-05	0.0065080
3622.83000	2800	29	6.72908E-03	4.3566E-05	0.0064743
3607.29000	2900	29	6.57991E-03	4.2405E-05	0.0064446
3592.22000	3000	29	6.44064E-03	4.1339E-05	0.0064185
3577.58000	3100	29	6.31033E-03	4.0361E-05	0.0063959
3563.33000	3200	29	6.18819E-03	3.9459E-05	0.0063766
3549.45000	3300	29	6.07341E-03	3.8629E-05	0.0063603
3535.90000	3400	29	5.96542E-03	3.7862E-05	0.0063469
