	T(K)	Density(kg/m3)	Temperature(K)		Pressure(GPa)			DCalcium(m2/s)	DAluminum(m2/s)	DSilicon(m2/s)	DOxygen(m2/s)
CIC_An71	5500	4326.77	5573.99		116.59			2.42E-10	2.39E-10	1.97E-10	1.76E-09
CIC_An06	6000	2398.21	5991.53		2.45			1.25E-08	9.22E-09	6.78E-09	1.13E-08
CIC_An12	6000	2518.12	6041.08		4.09			1.11E-08	9.02E-09	6.93E-09	1.15E-08
CIC_An18	6000	2598.06	6000.82		5.32			1.01E-08	8.43E-09	6.58E-09	1.14E-08
CIC_An24	6000	2673.27	5979.94		6.63			9.61E-09	8.28E-09	6.27E-09	1.12E-08
CIC_An30	6000	2724.28	5986.09		7.74			8.58E-09	7.76E-09	5.94E-09	1.07E-08
CIC_An36	6000	2797.91	6011.38		9.46			7.70E-09	7.22E-09	5.66E-09	1.05E-08
CIC_An42	6000	3307.53	6007.45		28.51			3.51E-09	3.83E-09	3.02E-09	7.71E-09
CIC_An48	6000	3367.49	5980.51		31.69			3.45E-09	3.40E-09	2.79E-09	7.47E-09
CIC_An54	6000	3417.45	6010.28		34.69			3.03E-09	3.37E-09	2.66E-09	7.10E-09
CIC_An60	6000	3557.35	5980.49		43.53			2.37E-09	2.41E-09	2.06E-09	6.12E-09
CIC_An66	6000	3987.03	6038.80		80.44			1.07E-09	1.14E-09	9.66E-10	3.99E-09
CIC_An72	6000	4326.77	6102.56		119.97			5.22E-10	5.50E-10	4.57E-10	2.75E-09
