elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T4_nvt_a17.5.outcar.umd.dat	15863	1.30	3.9e-13	5.4e-16	-2.41e-01	8.1e-01	9.1e-03	3989	227	>1.2e+01	3.44e-01	2.0e-02	>1.0e-03	-5.93e+00	5.5e-02	>7.7e-03	-1.234e+03	1.2e+01	>1.6e+00	-2.835e+04	2.6e+02	>3.7e+01	5.37	6.4e-02	4.47e+01	5.4e-01	2.21e+00	2.7e-02	1.54e-20	1.8e-22
NaAlSi3O8_T4_nvt_a18.0.outcar.umd.dat	16105	1.19	2.1e-13	1.5e-15	-2.74e-01	7.4e-01	8.2e-03	3984	232	>1.6e+01	3.43e-01	2.0e-02	>1.4e-03	-5.92e+00	5.8e-02	>1.3e-02	-1.231e+03	1.2e+01	>2.6e+00	-2.827e+04	2.8e+02	>6.0e+01	5.85	6.9e-02	4.86e+01	5.7e-01	2.41e+00	2.8e-02	1.68e-20	2.0e-22
NaAlSi3O8_T4_nvt_a18.5.outcar.umd.dat	15154	1.10	2.3e-13	1.8e-15	-2.59e-01	6.6e-01	7.5e-03	3963	218	>5.1e+00	3.42e-01	1.9e-02	>4.4e-04	-5.91e+00	5.5e-02	>8.7e-03	-1.228e+03	1.1e+01	>1.8e+00	-2.821e+04	2.6e+02	>4.1e+01	5.30	5.5e-02	4.41e+01	4.5e-01	2.19e+00	2.2e-02	1.52e-20	1.6e-22
NaAlSi3O8_T4_nvt_a19.0.outcar.umd.dat	16598	1.02	2.7e-13	1.8e-15	-2.69e-01	6.1e-01	6.6e-03	3971	223	>1.1e+01	3.42e-01	1.9e-02	>9.5e-04	-5.92e+00	5.7e-02	>6.7e-03	-1.230e+03	1.2e+01	>1.4e+00	-2.826e+04	2.7e+02	>3.2e+01	5.75	6.5e-02	4.78e+01	5.4e-01	2.37e+00	2.7e-02	1.65e-20	1.9e-22
NaAlSi3O8_T5_nvt_a12.0.outcar.umd.dat	17500	4.03	1.4e-13	5.9e-15	5.56e+01	2.5e+00	6.9e-02	5000	287	>7.0e+00	4.31e-01	2.5e-02	>6.0e-04	-5.52e+00	5.9e-02	2.1e-03	-1.148e+03	1.2e+01	4.4e-01	-2.636e+04	2.8e+02	1.0e+01	3.86	4.0e-02	3.21e+01	3.4e-01	1.59e+00	1.7e-02	1.11e-20	1.2e-22
NaAlSi3O8_T5_nvt_a12.5.outcar.umd.dat	20000	3.57	5.8e-13	4.0e-15	3.40e+01	2.2e+00	4.3e-02	5000	276	>7.8e+00	4.31e-01	2.4e-02	>6.7e-04	-5.64e+00	5.6e-02	>4.4e-03	-1.173e+03	1.2e+01	>9.1e-01	-2.694e+04	2.7e+02	>2.1e+01	3.54	3.4e-02	2.94e+01	2.8e-01	1.46e+00	1.4e-02	1.02e-20	9.8e-23
NaAlSi3O8_T5_nvt_a13.0.outcar.umd.dat	20500	3.17	7.0e-13	6.6e-15	2.05e+01	2.0e+00	3.9e-02	5001	278	>1.8e+02	4.31e-01	2.4e-02	>1.6e-02	-5.70e+00	6.0e-02	>3.1e-02	-1.186e+03	1.2e+01	>6.4e+00	-2.724e+04	2.9e+02	>1.5e+02	4.02	4.3e-02	3.34e+01	3.6e-01	1.66e+00	1.8e-02	1.16e-20	1.2e-22
NaAlSi3O8_T5_nvt_a13.5.outcar.umd.dat	18500	2.83	4.2e-13	4.2e-15	1.24e+01	1.9e+00	3.8e-02	5000	290	>2.4e+01	4.31e-01	2.5e-02	>2.1e-03	-5.73e+00	6.2e-02	>1.3e-02	-1.191e+03	1.3e+01	>2.8e+00	-2.735e+04	3.0e+02	>6.4e+01	4.26	4.1e-02	3.55e+01	3.4e-01	1.76e+00	1.7e-02	1.22e-20	1.2e-22
NaAlSi3O8_T5_nvt_a14.0.outcar.umd.dat	16797	2.54	3.2e-13	4.2e-15	7.12e+00	1.7e+00	2.6e-02	5000	274	>7.4e+00	4.31e-01	2.4e-02	>6.4e-04	-5.73e+00	6.3e-02	>2.2e-02	-1.191e+03	1.3e+01	>4.6e+00	-2.735e+04	3.0e+02	>1.1e+02	4.45	4.5e-02	3.70e+01	3.8e-01	1.83e+00	1.9e-02	1.28e-20	1.3e-22
NaAlSi3O8_T5_nvt_a14.5.outcar.umd.dat	16500	2.29	3.4e-13	1.4e-15	4.11e+00	1.5e+00	2.3e-02	5000	295	>8.8e+00	4.31e-01	2.5e-02	>7.6e-04	-5.69e+00	6.8e-02	>1.0e-02	-1.184e+03	1.4e+01	>2.1e+00	-2.719e+04	3.2e+02	>4.8e+01	5.12	5.3e-02	4.26e+01	4.4e-01	2.11e+00	2.2e-02	1.47e-20	1.5e-22
NaAlSi3O8_T5_nvt_a15.0.outcar.umd.dat	17400	2.06	7.3e-13	6.8e-16	2.40e+00	1.3e+00	1.4e-02	5000	279	>8.0e+00	4.31e-01	2.4e-02	>6.9e-04	-5.66e+00	6.6e-02	>1.5e-02	-1.178e+03	1.4e+01	>3.2e+00	-2.704e+04	3.1e+02	>7.3e+01	4.80	4.9e-02	3.99e+01	4.1e-01	1.98e+00	2.0e-02	1.38e-20	1.4e-22
NaAlSi3O8_T5_nvt_a15.5.outcar.umd.dat	17050	1.87	5.8e-13	3.8e-15	1.40e+00	1.2e+00	1.3e-02	5000	288	>2.9e+01	4.31e-01	2.5e-02	>2.5e-03	-5.61e+00	6.9e-02	>2.9e-02	-1.166e+03	1.4e+01	>6.0e+00	-2.678e+04	3.3e+02	>1.4e+02	5.34	5.4e-02	4.44e+01	4.5e-01	2.20e+00	2.2e-02	1.53e-20	1.5e-22
NaAlSi3O8_T5_nvt_a16.0.outcar.umd.dat	18962	1.70	2.4e-13	4.4e-15	6.38e-01	1.1e+00	1.1e-02	4999	277	>5.8e+01	4.31e-01	2.4e-02	>5.0e-03	-5.58e+00	6.6e-02	>6.3e-03	-1.160e+03	1.4e+01	>1.3e+00	-2.664e+04	3.1e+02	>3.0e+01	4.86	5.0e-02	4.04e+01	4.1e-01	2.00e+00	2.1e-02	1.39e-20	1.4e-22
NaAlSi3O8_T5_nvt_a16.5.outcar.umd.dat	16750	1.55	3.1e-13	9.5e-16	3.61e-01	1.0e+00	1.1e-02	5000	279	>8.7e+00	4.31e-01	2.4e-02	>7.5e-04	-5.54e+00	6.6e-02	>6.7e-03	-1.152e+03	1.4e+01	>1.4e+00	-2.646e+04	3.2e+02	>3.2e+01	4.86	5.4e-02	4.04e+01	4.5e-01	2.00e+00	2.2e-02	1.40e-20	1.6e-22
NaAlSi3O8_T5_nvt_a17.0.outcar.umd.dat	17265	1.42	3.3e-13	2.3e-15	2.07e-01	9.3e-01	1.0e-02	5000	275	>8.1e+00	4.31e-01	2.4e-02	>7.0e-04	-5.50e+00	6.5e-02	>3.6e-02	-1.144e+03	1.4e+01	>7.4e+00	-2.627e+04	3.1e+02	>1.7e+02	4.71	5.1e-02	3.92e+01	4.3e-01	1.94e+00	2.1e-02	1.35e-20	1.5e-22
NaAlSi3O8_T5_nvt_a17.5.outcar.umd.dat	14717	1.30	3.6e-13	6.2e-17	1.74e-01	8.6e-01	1.0e-02	5000	291	>9.8e+00	4.31e-01	2.5e-02	>8.4e-04	-5.46e+00	7.0e-02	>6.3e-03	-1.135e+03	1.5e+01	>1.3e+00	-2.606e+04	3.4e+02	>3.0e+01	5.54	6.9e-02	4.60e+01	5.8e-01	2.28e+00	2.9e-02	1.59e-20	2.0e-22
NaAlSi3O8_T5_nvt_a18.0.outcar.umd.dat	16115	1.19	2.1e-13	1.5e-15	4.74e-02	7.7e-01	8.6e-03	4995	273	>8.8e+00	4.30e-01	2.4e-02	>7.6e-04	-5.45e+00	6.3e-02	>6.7e-03	-1.133e+03	1.3e+01	>1.4e+00	-2.602e+04	3.0e+02	>3.2e+01	4.40	4.7e-02	3.66e+01	3.9e-01	1.82e+00	1.9e-02	1.26e-20	1.3e-22
NaAlSi3O8_T5_nvt_a18.5.outcar.umd.dat	16762	1.10	6.6e-14	1.9e-15	1.09e-02	7.0e-01	7.6e-03	4990	290	>9.4e+00	4.30e-01	2.5e-02	>8.1e-04	-5.41e+00	7.9e-02	>5.3e-02	-1.125e+03	1.6e+01	>1.1e+01	-2.584e+04	3.8e+02	>2.5e+02	7.01	6.8e-02	5.83e+01	5.6e-01	2.89e+00	2.8e-02	2.01e-20	2.0e-22
NaAlSi3O8_T5_nvt_a19.0.outcar.umd.dat	15496	1.02	2.7e-13	1.7e-15	-4.58e-02	6.6e-01	7.5e-03	4994	295	>1.2e+01	4.30e-01	2.5e-02	>1.0e-03	-5.41e+00	8.8e-02	>2.6e-02	-1.126e+03	1.8e+01	>5.5e+00	-2.586e+04	4.2e+02	>1.3e+02	8.65	1.1e-01	7.19e+01	9.3e-01	3.56e+00	4.6e-02	2.48e-20	3.2e-22
NaAlSi3O8_T6_nvt_a12.0.outcar.umd.dat	17500	4.03	1.4e-13	5.9e-15	6.14e+01	2.8e+00	7.6e-02	5999	337	>2.7e+01	5.17e-01	2.9e-02	>2.3e-03	-5.17e+00	7.2e-02	3.2e-03	-1.075e+03	1.5e+01	6.7e-01	-2.469e+04	3.4e+02	1.5e+01	4.00	4.3e-02	3.32e+01	3.6e-01	1.65e+00	1.8e-02	1.15e-20	1.2e-22
NaAlSi3O8_T6_nvt_a12.5.outcar.umd.dat	22500	3.57	8.4e-15	4.6e-16	3.86e+01	2.4e+00	5.7e-02	6000	339	>7.2e+00	5.17e-01	2.9e-02	>6.2e-04	-5.30e+00	7.2e-02	>6.7e-03	-1.102e+03	1.5e+01	>1.4e+00	-2.531e+04	3.4e+02	>3.2e+01	3.99	3.6e-02	3.31e+01	3.0e-01	1.64e+00	1.5e-02	1.14e-20	1.0e-22
NaAlSi3O8_T6_nvt_a13.0.outcar.umd.dat	20100	3.17	6.7e-13	6.5e-15	2.40e+01	2.2e+00	4.3e-02	6000	362	>8.4e+00	5.17e-01	3.1e-02	>7.2e-04	-5.36e+00	8.1e-02	>5.8e-03	-1.115e+03	1.7e+01	>1.2e+00	-2.561e+04	3.9e+02	>2.8e+01	5.06	5.1e-02	4.21e+01	4.3e-01	2.09e+00	2.1e-02	1.45e-20	1.5e-22
NaAlSi3O8_T6_nvt_a13.5.outcar.umd.dat	17900	2.83	3.6e-13	3.9e-15	1.51e+01	1.9e+00	3.9e-02	6001	348	>8.8e+00	5.17e-01	3.0e-02	>7.6e-04	-5.35e+00	7.2e-02	>9.6e-03	-1.113e+03	1.5e+01	>2.0e+00	-2.555e+04	3.4e+02	>4.6e+01	4.04	4.4e-02	3.36e+01	3.6e-01	1.67e+00	1.8e-02	1.16e-20	1.3e-22
NaAlSi3O8_T6_nvt_a14.0.outcar.umd.dat	16966	2.54	3.4e-13	4.2e-15	9.40e+00	1.7e+00	2.6e-02	6000	353	>2.7e+01	5.17e-01	3.0e-02	>2.3e-03	-5.34e+00	7.7e-02	5.3e-03	-1.110e+03	1.6e+01	1.1e+00	-2.549e+04	3.7e+02	2.5e+01	4.61	5.1e-02	3.83e+01	4.3e-01	1.90e+00	2.1e-02	1.32e-20	1.5e-22
NaAlSi3O8_T6_nvt_a14.5.outcar.umd.dat	17322	2.29	4.9e-13	1.4e-15	5.90e+00	1.6e+00	2.4e-02	6000	350	>9.1e+00	5.17e-01	3.0e-02	>7.8e-04	-5.29e+00	7.8e-02	>1.6e-02	-1.101e+03	1.6e+01	>3.3e+00	-2.528e+04	3.7e+02	>7.6e+01	4.72	5.9e-02	3.92e+01	4.9e-01	1.94e+00	2.4e-02	1.35e-20	1.7e-22
NaAlSi3O8_T6_nvt_a15.0.outcar.umd.dat	18246	2.06	7.6e-13	1.1e-16	3.74e+00	1.4e+00	2.0e-02	5999	336	>9.0e+00	5.17e-01	2.9e-02	>7.8e-04	-5.26e+00	7.4e-02	>6.3e-03	-1.094e+03	1.5e+01	>1.3e+00	-2.512e+04	3.5e+02	>3.0e+01	4.26	4.4e-02	3.54e+01	3.6e-01	1.75e+00	1.8e-02	1.22e-20	1.3e-22
NaAlSi3O8_T6_nvt_a15.5.outcar.umd.dat	17700	1.87	5.9e-13	3.9e-15	2.44e+00	1.3e+00	1.4e-02	6000	335	>1.4e+01	5.17e-01	2.9e-02	>1.2e-03	-5.20e+00	7.6e-02	>7.7e-03	-1.082e+03	1.6e+01	>1.6e+00	-2.484e+04	3.6e+02	>3.7e+01	4.52	4.7e-02	3.76e+01	3.9e-01	1.86e+00	1.9e-02	1.30e-20	1.4e-22
NaAlSi3O8_T6_nvt_a16.0.outcar.umd.dat	19447	1.70	2.6e-13	4.3e-15	1.63e+00	1.2e+00	1.2e-02	6000	336	>9.2e+00	5.17e-01	2.9e-02	>7.9e-04	-5.17e+00	7.8e-02	>6.3e-03	-1.076e+03	1.6e+01	>1.3e+00	-2.471e+04	3.7e+02	>3.0e+01	4.77	4.8e-02	3.96e+01	4.0e-01	1.96e+00	2.0e-02	1.37e-20	1.4e-22
NaAlSi3O8_T6_nvt_a16.5.outcar.umd.dat	17550	1.55	3.2e-13	1.1e-15	1.15e+00	1.1e+00	1.2e-02	6000	335	>9.9e+00	5.17e-01	2.9e-02	>8.5e-04	-5.10e+00	7.5e-02	>1.4e-02	-1.062e+03	1.6e+01	>2.9e+00	-2.438e+04	3.6e+02	>6.7e+01	4.35	4.4e-02	3.62e+01	3.7e-01	1.79e+00	1.8e-02	1.25e-20	1.3e-22
NaAlSi3O8_T6_nvt_a17.0.outcar.umd.dat	17590	1.42	3.5e-13	2.3e-15	8.62e-01	9.5e-01	1.0e-02	6000	338	>1.5e+01	5.17e-01	2.9e-02	>1.3e-03	-5.07e+00	8.5e-02	>1.6e-02	-1.054e+03	1.8e+01	>3.4e+00	-2.420e+04	4.0e+02	>7.8e+01	5.55	6.0e-02	4.61e+01	5.0e-01	2.29e+00	2.5e-02	1.59e-20	1.7e-22
NaAlSi3O8_T6_nvt_a17.5.outcar.umd.dat	15082	1.30	3.7e-13	1.4e-16	6.53e-01	9.0e-01	1.0e-02	6000	324	>1.0e+01	5.17e-01	2.8e-02	>8.6e-04	-5.03e+00	7.2e-02	>7.7e-03	-1.047e+03	1.5e+01	>1.6e+00	-2.404e+04	3.5e+02	>3.7e+01	4.06	4.4e-02	3.37e+01	3.7e-01	1.67e+00	1.8e-02	1.17e-20	1.3e-22
NaAlSi3O8_T6_nvt_a18.0.outcar.umd.dat	17795	1.19	2.2e-13	1.6e-15	4.76e-01	7.7e-01	8.2e-03	5996	338	>3.1e+01	5.17e-01	2.9e-02	>2.7e-03	-5.00e+00	8.1e-02	>2.2e-02	-1.041e+03	1.7e+01	>4.6e+00	-2.390e+04	3.9e+02	>1.1e+02	5.12	5.9e-02	4.26e+01	4.9e-01	2.11e+00	2.4e-02	1.47e-20	1.7e-22
NaAlSi3O8_T6_nvt_a18.5.outcar.umd.dat	17004	1.10	4.4e-14	1.9e-15	3.92e-01	7.8e-01	8.4e-03	5989	337	>1.2e+01	5.16e-01	2.9e-02	>1.0e-03	-4.99e+00	7.5e-02	>1.0e-02	-1.039e+03	1.6e+01	>2.1e+00	-2.386e+04	3.6e+02	>4.8e+01	4.39	4.9e-02	3.65e+01	4.1e-01	1.81e+00	2.0e-02	1.26e-20	1.4e-22
NaAlSi3O8_T6_nvt_a19.0.outcar.umd.dat	16995	1.02	2.8e-13	1.9e-15	3.54e-01	6.8e-01	7.3e-03	5991	318	>3.1e+01	5.16e-01	2.7e-02	>2.7e-03	-4.92e+00	7.6e-02	>7.7e-03	-1.024e+03	1.6e+01	>1.6e+00	-2.353e+04	3.6e+02	>3.7e+01	4.46	4.9e-02	3.71e+01	4.1e-01	1.84e+00	2.0e-02	1.28e-20	1.4e-22
NaAlSi3O8_T7_nvt_a15.0.outcar.umd.dat	16452	2.06	6.8e-13	1.7e-15	5.22e+00	1.5e+00	2.3e-02	6988	396	>1.9e+02	6.02e-01	3.4e-02	>1.6e-02	-4.88e+00	8.1e-02	>3.1e-02	-1.016e+03	1.7e+01	>6.5e+00	-2.333e+04	3.8e+02	>1.5e+02	3.71	4.0e-02	3.08e+01	3.3e-01	1.53e+00	1.6e-02	1.06e-20	1.1e-22
NaAlSi3O8_T7_nvt_a16.0.outcar.umd.dat	16000	1.70	1.1e-13	3.8e-15	2.62e+00	1.2e+00	1.4e-02	7000	394	>1.1e+01	6.03e-01	3.4e-02	>9.5e-04	-4.78e+00	8.3e-02	4.8e-03	-9.949e+02	1.7e+01	1.0e+00	-2.285e+04	4.0e+02	2.3e+01	3.91	4.4e-02	3.25e+01	3.7e-01	1.61e+00	1.8e-02	1.12e-20	1.3e-22
NaAlSi3O8_T7_nvt_a17.0.outcar.umd.dat	17012	1.42	3.1e-13	2.3e-15	1.52e+00	1.0e+00	1.1e-02	6988	390	>2.4e+01	6.02e-01	3.4e-02	>2.1e-03	-4.68e+00	8.2e-02	>2.9e-02	-9.731e+02	1.7e+01	>6.0e+00	-2.235e+04	3.9e+02	>1.4e+02	3.89	4.0e-02	3.23e+01	3.3e-01	1.60e+00	1.7e-02	1.12e-20	1.2e-22
NaAlSi3O8_T7_nvt_a17.5.outcar.umd.dat	16478	1.30	4.0e-13	8.0e-16	1.20e+00	9.2e-01	1.0e-02	6991	426	>1.3e+01	6.02e-01	3.7e-02	>1.1e-03	-4.64e+00	8.6e-02	>1.6e-02	-9.645e+02	1.8e+01	>3.3e+00	-2.215e+04	4.1e+02	>7.6e+01	4.23	4.0e-02	3.51e+01	3.4e-01	1.74e+00	1.7e-02	1.21e-20	1.2e-22
NaAlSi3O8_T7_nvt_a18.0.outcar.umd.dat	16393	1.19	2.2e-13	1.5e-15	9.65e-01	8.4e-01	9.2e-03	6988	392	>2.0e+01	6.02e-01	3.4e-02	>1.7e-03	-4.63e+00	8.3e-02	>8.2e-03	-9.630e+02	1.7e+01	>1.7e+00	-2.212e+04	4.0e+02	>3.9e+01	3.97	4.2e-02	3.30e+01	3.5e-01	1.64e+00	1.7e-02	1.14e-20	1.2e-22
NaAlSi3O8_T7_nvt_a18.5.outcar.umd.dat	15330	1.10	2.1e-13	1.8e-15	8.31e-01	7.7e-01	8.8e-03	6987	391	>1.3e+01	6.02e-01	3.4e-02	>1.1e-03	-4.56e+00	8.3e-02	>1.3e-02	-9.495e+02	1.7e+01	>2.7e+00	-2.180e+04	4.0e+02	>6.2e+01	3.97	4.8e-02	3.30e+01	4.0e-01	1.64e+00	2.0e-02	1.14e-20	1.4e-22
NaAlSi3O8_T7_nvt_a19.0.outcar.umd.dat	17359	1.02	2.8e-13	1.9e-15	7.20e-01	6.9e-01	7.4e-03	6988	377	>2.5e+01	6.02e-01	3.2e-02	>2.2e-03	-4.54e+00	8.3e-02	>1.6e-02	-9.452e+02	1.7e+01	>3.4e+00	-2.171e+04	3.9e+02	>7.8e+01	3.90	4.1e-02	3.24e+01	3.4e-01	1.61e+00	1.7e-02	1.12e-20	1.2e-22
test-NaAlSi3O8_T5_nvt_a16.5_decrease-T.outcar.umd.dat	17500	1.55	3.1e-13	1.1e-15	3.33e-01	9.9e-01	1.1e-02	4994	283	>8.2e+00	4.30e-01	2.4e-02	>7.1e-04	-5.54e+00	6.9e-02	>3.8e-02	-1.152e+03	1.4e+01	>7.9e+00	-2.645e+04	3.3e+02	>1.8e+02	5.31	6.2e-02	4.41e+01	5.2e-01	2.19e+00	2.6e-02	1.52e-20	1.8e-22
test-NaAlSi3O8_T5_nvt_a16.5_decrease-acell.outcar.umd.dat	17500	1.55	3.1e-13	1.1e-15	3.80e-01	1.0e+00	1.1e-02	4994	287	>8.7e+00	4.30e-01	2.5e-02	>7.5e-04	-5.53e+00	6.9e-02	>2.2e-02	-1.150e+03	1.4e+01	>4.6e+00	-2.641e+04	3.3e+02	>1.1e+02	5.29	5.4e-02	4.40e+01	4.5e-01	2.18e+00	2.2e-02	1.52e-20	1.6e-22
test-NaAlSi3O8_T5_nvt_a16.5_increase-T.outcar.umd.dat	17500	1.55	3.1e-13	1.1e-15	4.19e-01	1.0e+00	1.1e-02	4995	286	>1.3e+01	4.30e-01	2.5e-02	>1.1e-03	-5.54e+00	6.5e-02	>8.2e-03	-1.153e+03	1.4e+01	>1.7e+00	-2.647e+04	3.1e+02	>3.9e+01	4.76	4.3e-02	3.96e+01	3.5e-01	1.96e+00	1.8e-02	1.37e-20	1.2e-22
test-NaAlSi3O8_T5_nvt_a16.5_increase-acell.outcar.umd.dat	17500	1.55	3.1e-13	1.1e-15	3.88e-01	1.0e+00	1.1e-02	4995	278	>2.1e+01	4.30e-01	2.4e-02	>1.8e-03	-5.52e+00	6.4e-02	>1.7e-02	-1.149e+03	1.3e+01	>3.6e+00	-2.639e+04	3.0e+02	>8.3e+01	4.53	4.6e-02	3.77e+01	3.8e-01	1.87e+00	1.9e-02	1.30e-20	1.3e-22
