elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T3_nvt_a13.5.outcar.umd.dat	17500	2.83	3.2e-13	3.7e-15	9.12e+00	1.6e+00	3.3e-02	3000	171	>5.0e+00	2.59e-01	1.5e-02	>4.3e-04	-6.49e+00	3.4e-02	2.3e-03	-1.350e+03	7.0e+00	4.8e-01	-3.099e+04	1.6e+02	1.1e+01	3.56	3.4e-02	2.96e+01	2.8e-01	1.47e+00	1.4e-02	1.02e-20	9.7e-23
NaAlSi3O8_T3_nvt_a14.0.outcar.umd.dat	17152	2.54	3.7e-13	4.2e-15	4.77e+00	1.4e+00	2.1e-02	3000	163	>4.8e+00	2.59e-01	1.4e-02	>4.1e-04	-6.50e+00	3.5e-02	>9.1e-03	-1.352e+03	7.3e+00	>1.9e+00	-3.104e+04	1.7e+02	>4.4e+01	3.84	4.3e-02	3.19e+01	3.5e-01	1.58e+00	1.8e-02	1.10e-20	1.2e-22
NaAlSi3O8_T3_nvt_a14.5.outcar.umd.dat	20566	2.29	9.6e-13	1.3e-15	1.36e+00	1.2e+00	1.2e-02	2992	171	>4.7e+00	2.58e-01	1.5e-02	>4.1e-04	-6.53e+00	3.7e-02	>4.8e-03	-1.359e+03	7.7e+00	>1.0e+00	-3.121e+04	1.8e+02	>2.3e+01	4.32	4.5e-02	3.59e+01	3.8e-01	1.78e+00	1.9e-02	1.24e-20	1.3e-22
NaAlSi3O8_T3_nvt_a15.0.outcar.umd.dat	26745	2.06	1.0e-12	4.2e-15	5.56e-01	1.1e+00	9.5e-03	2998	174	>7.2e+00	2.58e-01	1.5e-02	>6.2e-04	-6.51e+00	3.8e-02	>6.7e-03	-1.354e+03	7.9e+00	>1.4e+00	-3.110e+04	1.8e+02	>3.2e+01	4.50	3.7e-02	3.74e+01	3.1e-01	1.85e+00	1.5e-02	1.29e-20	1.1e-22
NaAlSi3O8_T3_nvt_a15.5.outcar.umd.dat	16300	1.87	5.7e-13	3.7e-15	-4.33e-01	9.7e-01	1.1e-02	3000	167	>5.3e+00	2.59e-01	1.4e-02	>4.6e-04	-6.48e+00	3.6e-02	1.9e-03	-1.347e+03	7.5e+00	3.9e-01	-3.094e+04	1.7e+02	9.0e+00	4.09	4.6e-02	3.40e+01	3.8e-01	1.69e+00	1.9e-02	1.17e-20	1.3e-22
NaAlSi3O8_T3_nvt_a16.0.outcar.umd.dat	31157	1.70	5.1e-13	7.0e-16	-7.25e-01	8.9e-01	7.2e-03	2999	171	>4.1e+00	2.58e-01	1.5e-02	>3.5e-04	-6.47e+00	3.8e-02	>7.7e-03	-1.345e+03	7.9e+00	>1.6e+00	-3.089e+04	1.8e+02	>3.7e+01	4.48	3.6e-02	3.72e+01	3.0e-01	1.85e+00	1.5e-02	1.29e-20	1.0e-22
NaAlSi3O8_T3_nvt_a16.5.outcar.umd.dat	30391	1.55	4.0e-13	2.3e-15	-6.48e-01	8.5e-01	6.9e-03	2993	173	>5.7e+00	2.58e-01	1.5e-02	>4.9e-04	-6.43e+00	4.1e-02	>6.3e-03	-1.337e+03	8.6e+00	>1.3e+00	-3.071e+04	2.0e+02	>3.0e+01	5.27	4.2e-02	4.39e+01	3.5e-01	2.17e+00	1.7e-02	1.51e-20	1.2e-22
NaAlSi3O8_T3_nvt_a17.0.outcar.umd.dat	19961	1.42	4.8e-13	2.3e-15	-5.73e-01	7.7e-01	7.7e-03	2969	165	>3.4e+00	2.56e-01	1.4e-02	>2.9e-04	-6.43e+00	3.9e-02	>9.6e-03	-1.337e+03	8.2e+00	>2.0e+00	-3.071e+04	1.9e+02	>4.6e+01	4.91	4.9e-02	4.08e+01	4.0e-01	2.02e+00	2.0e-02	1.41e-20	1.4e-22
NaAlSi3O8_T3_nvt_a17.5.outcar.umd.dat	17659	1.30	4.2e-13	1.2e-15	-4.86e-01	7.0e-01	7.4e-03	2981	173	>1.3e+01	2.57e-01	1.5e-02	>1.1e-03	-6.43e+00	4.1e-02	>2.2e-02	-1.337e+03	8.5e+00	>4.5e+00	-3.071e+04	2.0e+02	>1.0e+02	5.28	5.6e-02	4.39e+01	4.6e-01	2.18e+00	2.3e-02	1.52e-20	1.6e-22
NaAlSi3O8_T3_nvt_a18.0.outcar.umd.dat	17363	1.19	2.2e-13	1.6e-15	-5.67e-01	6.6e-01	7.1e-03	2987	176	>1.1e+01	2.57e-01	1.5e-02	>9.5e-04	-6.38e+00	3.9e-02	>8.2e-03	-1.327e+03	8.0e+00	>1.7e+00	-3.047e+04	1.8e+02	>3.9e+01	4.67	4.6e-02	3.88e+01	3.8e-01	1.92e+00	1.9e-02	1.34e-20	1.3e-22
