Densities in kg/m3 for which the hugoniot equation equals 0, corresponding pressures in GPa from BM3 fit and Energies from Hugoniot equation
T(K)	rho(kg/m3)	P(GPa)	rho0(kg/m3)	K0(GPa)	K'0	Chi2red	E(J/kg)	Up_crust(km/s)	Up_Eimp1(km/s)	Up_Eimp2(km/s)	Up_Eimp3(km/s)	Up_Mimp1(km/s)	Up_Mimp2(km/s)	Up_Mimp3(km/s)
0	2700	0.0	-	-	-	-	-35800146.1	0	12.9	15.2	18.1	8.3	11.5	15.2
3000	4793	93.82	1532.0	0.03	302.64	237.51	-28212697.85	3.9	9.48	11.78	14.68	4.88	8.08	11.78
4000	4942	114.53	1251.0	0.02	187.1	47.74	-26179033.4	4.39	9.03	11.33	14.23	4.43	7.63	11.33
5000	5089	137.86	1709.0	6.43	5.45	21.03	-23814427.37	4.9	8.56	10.86	13.76	3.96	7.16	10.86
6000	5228	161.98	1877.0	13.49	4.65	8.19	-21295562.56	5.39	8.1	10.4	13.3	3.5	6.7	10.4
10000	5619	250.97	910.0	2.0	4.4	4.61	-11655477.07	6.95	6.66	8.96	11.86	2.06	5.26	8.96
15000	5918	345.18	73.0	0.0	4.08	2.24	-1039505.98	8.34	5.37	7.67	10.57	0.77	3.97	7.67
20000	6107	422.92	0.0	0.0	4.0	16.8	7893757.66	9.35	4.43	6.73	9.63	-0.17	3.03	6.73
