elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T5_nvt_a12.0_hard.outcar.umd.dat	5181	4.03	4.2e-13	1.6e-15	5.68e+01	2.3e+00	8.7e-02	4984	282	>1.3e+01	4.29e-01	2.4e-02	>1.1e-03	-5.51e+00	5.9e-02	>1.0e-02	-1.146e+03	1.2e+01	>2.1e+00	-2.631e+04	2.8e+02	>4.8e+01	3.96	7.6e-02	3.30e+01	6.3e-01	1.63e+00	3.1e-02	1.14e-20	2.2e-22
NaAlSi3O8_T5_nvt_a12.5_hard.outcar.umd.dat	5150	3.57	5.0e-13	1.8e-15	3.52e+01	2.1e+00	8.1e-02	4987	280	>3.5e+01	4.30e-01	2.4e-02	>3.0e-03	-5.60e+00	6.2e-02	4.8e-03	-1.164e+03	1.3e+01	1.0e+00	-2.674e+04	2.9e+02	2.3e+01	4.27	7.6e-02	3.55e+01	6.3e-01	1.76e+00	3.1e-02	1.22e-20	2.2e-22
NaAlSi3O8_T5_nvt_a13.0_hard.outcar.umd.dat	4630	3.17	1.8e-13	1.7e-15	2.15e+01	2.0e+00	8.2e-02	4987	299	>1.0e+02	4.30e-01	2.6e-02	>8.6e-03	-5.65e+00	6.8e-02	>2.7e-02	-1.175e+03	1.4e+01	>5.7e+00	-2.699e+04	3.2e+02	>1.3e+02	5.15	1.1e-01	4.29e+01	8.8e-01	2.12e+00	4.4e-02	1.48e-20	3.0e-22
NaAlSi3O8_T6_nvt_a10.5_hard.outcar.umd.dat	8217	6.02	1.2e-12	4.4e-16	2.61e+02	3.6e+00	1.7e-01	6000	344	>5.4e+01	5.17e-01	3.0e-02	>4.7e-03	-3.71e+00	7.5e-02	>1.0e-02	-7.715e+02	1.6e+01	>2.1e+00	-1.772e+04	3.6e+02	>4.8e+01	4.31	6.4e-02	3.59e+01	5.3e-01	1.78e+00	2.6e-02	1.24e-20	1.8e-22
NaAlSi3O8_T6_nvt_a10.75_hard.outcar.umd.dat	7280	5.61	1.6e-13	2.5e-15	2.07e+02	3.4e+00	1.4e-01	6000	336	>1.2e+01	5.17e-01	2.9e-02	>1.0e-03	-4.12e+00	7.7e-02	>1.0e-02	-8.565e+02	1.6e+01	>2.1e+00	-1.967e+04	3.7e+02	>4.8e+01	4.61	7.8e-02	3.84e+01	6.5e-01	1.90e+00	3.2e-02	1.32e-20	2.2e-22
NaAlSi3O8_T6_nvt_a11.0_hard.outcar.umd.dat	5581	5.23	3.2e-13	4.9e-15	1.62e+02	3.3e+00	1.5e-01	5971	337	>1.3e+01	5.15e-01	2.9e-02	>1.1e-03	-4.46e+00	7.2e-02	>1.1e-02	-9.286e+02	1.5e+01	>2.2e+00	-2.133e+04	3.4e+02	>5.1e+01	4.07	7.4e-02	3.38e+01	6.1e-01	1.68e+00	3.0e-02	1.17e-20	2.1e-22
NaAlSi3O8_T6_nvt_a11.35_hard.outcar.umd.dat	4935	4.76	3.3e-13	1.6e-15	1.17e+02	3.0e+00	1.5e-01	5975	335	>1.8e+01	5.15e-01	2.9e-02	>1.6e-03	-4.78e+00	7.8e-02	>1.1e-02	-9.949e+02	1.6e+01	>2.2e+00	-2.285e+04	3.7e+02	>5.1e+01	4.80	9.0e-02	3.99e+01	7.5e-01	1.98e+00	3.7e-02	1.38e-20	2.6e-22
NaAlSi3O8_T6_nvt_a11.5_hard.outcar.umd.dat	4994	4.58	4.0e-13	2.0e-15	1.02e+02	2.9e+00	1.8e-01	5978	320	>1.7e+01	5.15e-01	2.8e-02	>1.5e-03	-4.88e+00	7.1e-02	>1.9e-02	-1.015e+03	1.5e+01	>3.9e+00	-2.331e+04	3.4e+02	>9.0e+01	3.96	7.4e-02	3.30e+01	6.1e-01	1.63e+00	3.0e-02	1.14e-20	2.1e-22
NaAlSi3O8_T6_nvt_a11.6_hard.outcar.umd.dat	4752	4.46	5.4e-14	1.0e-15	9.24e+01	2.8e+00	1.9e-01	5977	335	>1.5e+01	5.15e-01	2.9e-02	>1.3e-03	-4.95e+00	7.2e-02	>1.6e-02	-1.029e+03	1.5e+01	>3.4e+00	-2.363e+04	3.4e+02	>7.8e+01	4.03	8.7e-02	3.35e+01	7.3e-01	1.66e+00	3.6e-02	1.16e-20	2.5e-22
NaAlSi3O8_T6_nvt_a11.75_hard.outcar.umd.dat	5608	4.29	5.1e-13	1.2e-15	8.03e+01	2.7e+00	1.3e-01	5978	332	>1.4e+01	5.15e-01	2.9e-02	>1.2e-03	-5.03e+00	7.6e-02	>1.3e-02	-1.047e+03	1.6e+01	>2.6e+00	-2.404e+04	3.6e+02	>6.0e+01	4.48	7.3e-02	3.72e+01	6.0e-01	1.85e+00	3.0e-02	1.29e-20	2.1e-22
NaAlSi3O8_T6_nvt_a11.85_hard.outcar.umd.dat	5780	4.19	4.9e-13	1.7e-15	7.34e+01	2.6e+00	1.2e-01	5981	315	>1.3e+01	5.15e-01	2.7e-02	>1.1e-03	-5.06e+00	7.3e-02	>1.1e-02	-1.052e+03	1.5e+01	>2.3e+00	-2.416e+04	3.5e+02	>5.3e+01	4.22	8.8e-02	3.51e+01	7.3e-01	1.74e+00	3.6e-02	1.21e-20	2.5e-22
NaAlSi3O8_T6_nvt_a12.0_hard.outcar.umd.dat	4959	4.03	4.0e-13	9.8e-16	6.38e+01	2.8e+00	1.4e-01	5984	337	>1.6e+01	5.16e-01	2.9e-02	>1.4e-03	-5.10e+00	7.5e-02	5.3e-03	-1.061e+03	1.6e+01	1.1e+00	-2.436e+04	3.6e+02	2.5e+01	4.39	7.7e-02	3.65e+01	6.4e-01	1.81e+00	3.2e-02	1.26e-20	2.2e-22
NaAlSi3O8_T6_nvt_a12.5_hard.outcar.umd.dat	4979	3.57	4.8e-13	1.3e-15	4.00e+01	2.3e+00	8.5e-02	5984	361	>1.7e+01	5.16e-01	3.1e-02	>1.5e-03	-5.21e+00	8.1e-02	>2.0e-02	-1.084e+03	1.7e+01	>4.2e+00	-2.489e+04	3.9e+02	>9.6e+01	5.10	1.6e-01	4.24e+01	1.3e+00	2.10e+00	6.5e-02	1.47e-20	4.6e-22
